"stateFips","sex","age","year","pop.new"
"56",2,85,2012,5907
"56",2,65,2012,12684
"56",2,55,2012,21179
"56",2,45,2012,17533
"56",2,35,2012,16286
"56",2,25,2012,19464
"56",1,65,2012,12993
"56",1,55,2012,21890
"56",1,35,2012,17813
"56",1,30,2012,20828
"56",1,25,2012,21384
"56",1,20,2012,22633
"56",1,5,2012,20266
"55",2,85,2012,83392
"55",2,65,2012,131464
"55",2,55,2012,203040
"55",2,45,2012,203812
"55",2,35,2012,163593
"55",1,65,2012,124421
"55",1,55,2012,201902
"55",1,35,2012,168017
"55",1,25,2012,185476
"55",1,20,2012,200075
"55",1,5,2012,187907
"54",2,85,2012,25353
"54",2,65,2012,51759
"54",2,55,2012,71305
"54",2,45,2012,63157
"54",2,35,2012,55252
"54",2,25,2012,52155
"54",1,55,2012,68711
"54",1,50,2012,68073
"54",1,45,2012,62880
"54",1,35,2012,56135
"54",1,30,2012,57302
"56",1,45,2012,18098
"54",1,25,2012,54497
"55",1,30,2012,186280
"54",1,20,2012,63280
"54",1,5,2012,54291
"54",1,0,2012,52580
"53",2,85,2012,80782
"53",2,80,2012,65095
"53",2,65,2012,163189
"53",2,55,2012,242336
"53",2,45,2012,232821
"53",2,35,2012,217687
"53",1,85,2012,42702
"53",1,55,2012,232407
"53",1,50,2012,246821
"53",1,45,2012,234169
"53",1,35,2012,223291
"53",1,30,2012,246296
"55",1,45,2012,204400
"53",1,25,2012,252852
"53",1,20,2012,254150
"53",1,5,2012,224924
"51",2,85,2012,89093
"51",2,80,2012,79779
"51",2,75,2012,101864
"51",2,65,2012,191952
"51",2,60,2012,241241
"51",2,50,2012,309394
"51",2,45,2012,304547
"51",2,20,2012,287230
"51",2,15,2012,265770
"51",2,10,2012,253371
"51",2,5,2012,254361
"51",2,0,2012,251063
"51",1,80,2012,53793
"51",1,35,2012,259531
"51",1,20,2012,305115
"51",1,15,2012,276660
"51",1,5,2012,265156
"50",2,85,2012,9047
"50",2,80,2012,7535
"50",2,65,2012,17129
"50",2,60,2012,22409
"50",2,50,2012,26425
"50",2,45,2012,23400
"50",2,40,2012,20397
"50",2,20,2012,21419
"50",2,15,2012,22206
"50",2,10,2012,17616
"50",2,5,2012,16546
"50",2,0,2012,14958
"50",1,80,2012,5233
"50",1,20,2012,22915
"50",1,15,2012,23223
"50",1,5,2012,17468
"49",2,85,2012,20555
"49",2,80,2012,19727
"49",2,75,2012,26113
"49",2,65,2012,46928
"49",2,50,2012,78321
"49",2,45,2012,74500
"49",2,40,2012,81766
"49",2,20,2012,119055
"49",2,15,2012,107550
"49",2,10,2012,116431
"49",2,5,2012,125509
"50",2,25,2012,17661
"49",2,0,2012,125473
"49",1,80,2012,15860
"50",1,30,2012,17472
"49",1,20,2012,122470
"49",1,15,2012,111758
"49",1,5,2012,132289
"48",2,85,2012,222110
"48",2,80,2012,214475
"48",2,65,2012,510035
"48",2,50,2012,875752
"48",2,45,2012,864523
"48",2,40,2012,898082
"48",2,20,2012,938959
"48",2,15,2012,912225
"48",2,10,2012,949654
"48",2,5,2012,967176
"48",2,0,2012,950267
"48",1,80,2012,148075
"48",1,35,2012,875209
"48",1,20,2012,996555
"48",1,15,2012,968792
"48",1,5,2012,1005863
"47",2,85,2012,73082
"47",2,80,2012,69948
"51",1,10,2012,264946
"47",2,75,2012,91653
"47",2,65,2012,163899
"47",2,50,2012,238528
"47",2,45,2012,229059
"56",2,10,2012,17738
"47",2,40,2012,222638
"47",2,20,2012,227585
"47",2,15,2012,206079
"47",2,5,2012,203459
"48",2,25,2012,933930
"47",2,0,2012,197205
"47",1,80,2012,45327
"47",1,40,2012,217425
"48",1,30,2012,940415
"47",1,20,2012,229699
"47",1,15,2012,216505
"47",1,5,2012,211477
"46",2,85,2012,13457
"46",2,80,2012,10601
"50",1,10,2012,18725
"46",2,75,2012,11965
"46",2,65,2012,18152
"46",2,50,2012,29864
"46",2,45,2012,25797
"55",2,10,2012,182783
"46",2,40,2012,23170
"46",2,20,2012,28652
"46",2,15,2012,27820
"46",2,5,2012,28495
"51",2,25,2012,286212
"46",2,0,2012,29157
"46",1,80,2012,7531
"51",1,30,2012,282080
"46",1,20,2012,31123
"46",1,15,2012,29537
"46",1,5,2012,29994
"45",2,85,2012,51940
"45",2,80,2012,48799
"49",1,10,2012,122821
"45",2,75,2012,67581
"45",2,65,2012,129821
"45",2,50,2012,172089
"45",2,45,2012,165512
"54",2,10,2012,53103
"45",2,40,2012,157662
"45",2,15,2012,151965
