"sex","age","year","stateFips","pop.old","pop.new","diff","percent.change"
1,15,2011,"04",232498,233431,933,0.401293774570104
1,15,2011,"05",100864,101875,1011,1.00233978426396
1,15,2011,"06",1420449,1414776,5673,0.399380759182484
1,15,2011,"08",176243,176918,675,0.382993934510874
1,15,2011,"09",129724,131859,2135,1.64580185624865
1,15,2011,"10",31485,31644,159,0.505002382086708
1,15,2011,"11",18654,18656,2,0.0107215610592902
1,15,2011,"12",616167,616547,380,0.0616715922793658
1,15,2011,"13",360536,361949,1413,0.391916479907693
1,15,2011,"15",43554,43399,155,0.355880056940809
1,15,2011,"16",59001,58452,549,0.9304927035135
1,15,2011,"17",467166,466175,991,0.21213016358211
1,15,2011,"18",241180,240632,548,0.227216187080189
1,15,2011,"19",110601,111095,494,0.446650572779631
1,15,2011,"20",105800,105304,496,0.468809073724008
1,15,2011,"21",149098,149290,192,0.128774363170532
1,15,2011,"22",160239,159369,870,0.542938984891319
1,15,2011,"23",44463,44671,208,0.467804691541282
1,15,2011,"24",204111,206276,2165,1.06069736564908
1,15,2011,"25",233085,236502,3417,1.46598880236823
1,15,2011,"26",367461,367406,55,0.0149675747902498
1,15,2011,"27",187755,187917,162,0.0862826555883998
1,15,2011,"28",110900,110166,734,0.661857529305681
1,15,2011,"29",212356,212014,342,0.161050311740662
1,15,2011,"30",34847,34517,330,0.946996872040635
1,15,2011,"31",66904,66487,417,0.623281119215592
1,15,2011,"32",91525,91282,243,0.265501229172357
1,15,2011,"33",47378,47671,293,0.618430495166533
1,15,2011,"34",305437,307711,2274,0.744507050553797
1,15,2011,"35",74722,75091,369,0.493830464923316
1,15,2011,"36",677542,681957,4415,0.651620120966671
1,15,2011,"37",336066,336200,134,0.0398731201609208
1,15,2011,"38",25012,24997,15,0.0599712138173677
1,15,2011,"39",411083,412171,1088,0.26466674613156
1,15,2011,"40",134353,133858,495,0.36843241312066
1,15,2011,"41",128252,127611,641,0.499797274116583
1,15,2011,"42",452844,452159,685,0.151266219713632
1,15,2011,"44",39106,39088,18,0.0460287423924717
1,15,2011,"45",163850,163846,4,0.00244125724748245
1,15,2011,"46",29814,29866,52,0.174414704501241
1,15,2011,"47",218830,219170,340,0.155371749760088
1,15,2011,"48",971258,969499,1759,0.181105329376952
1,15,2011,"49",111516,110960,556,0.498583162954195
1,15,2011,"50",23558,23623,65,0.275914763562272
1,15,2011,"51",278413,279446,1033,0.371031525108382
1,15,2011,"53",231343,231294,49,0.0211806711246936
1,15,2011,"54",60540,60070,470,0.776346217376941
1,15,2011,"55",204123,203229,894,0.437971223233051
1,15,2011,"56",19390,19242,148,0.763280041258381
1,20,2011,"01",173150,172845,305,0.17614784868611
1,20,2011,"02",30230,31077,847,2.8018524644393
1,20,2011,"04",240563,240200,363,0.150896023079193
1,20,2011,"05",104010,104757,747,0.718200173060283
1,20,2011,"06",1487215,1485777,1438,0.0966907945387856
1,20,2011,"08",187764,187044,720,0.38346008819582
1,20,2011,"09",117219,118377,1158,0.987894453970773
1,20,2011,"10",32626,32545,81,0.248268252314105
1,20,2011,"11",27531,27666,135,0.4903563255966
1,20,2011,"12",655862,655427,435,0.0663249281098768
1,20,2011,"13",360352,358672,1680,0.466210816090933
1,20,2011,"15",53744,54481,737,1.3713158678178
1,20,2011,"16",55911,55852,59,0.105524851996924
1,20,2011,"17",449936,449003,933,0.207362824935102
1,20,2011,"18",233320,233975,655,0.280730327447283
1,20,2011,"19",111837,112824,987,0.882534402746855
1,20,2011,"20",107593,107269,324,0.301134832191685
1,20,2011,"21",152805,153243,438,0.28663983508393
1,20,2011,"22",172775,172041,734,0.424829981189408
1,20,2011,"23",40601,40559,42,0.103445727937736
1,20,2011,"24",203471,204450,979,0.481149647861366
1,20,2011,"25",237131,239765,2634,1.11077843048779
1,20,2011,"26",353712,352430,1282,0.362441760528339
1,20,2011,"27",181081,181003,78,0.0430746461528266
1,20,2011,"28",109367,109652,285,0.260590488904331
1,20,2011,"29",211028,211040,12,0.00568644919157647
1,20,2011,"30",35874,36053,179,0.498968612365501
1,20,2011,"31",66146,66728,582,0.879871798748224
1,20,2011,"32",94530,94040,490,0.518353961705279
1,20,2011,"33",43731,43743,12,0.0274404884406942
1,20,2011,"34",282734,283685,951,0.336358556098665
1,20,2011,"35",76018,76499,481,0.632744876213528
1,20,2011,"36",724065,724892,827,0.11421626511432
1,20,2011,"37",344767,344891,124,0.0359663192822979
1,20,2011,"38",32673,32850,177,0.541731705077587
1,20,2011,"39",390763,392092,1329,0.340103848112539
1,20,2011,"40",143154,141745,1409,0.984254718694553
1,20,2011,"41",133005,132096,909,0.683432953648359
1,20,2011,"42",447862,448288,426,0.0951185856357539
1,20,2011,"44",42184,42049,135,0.320026550350844
1,20,2011,"45",173590,174832,1242,0.715479002246673
1,20,2011,"46",30021,30063,42,0.139902068552014
1,20,2011,"47",220523,220267,256,0.116087664325263
1,20,2011,"48",961071,961185,114,0.0118617667165069
1,20,2011,"49",120475,117638,2837,2.35484540361071
1,20,2011,"50",22988,22750,238,1.0353227771011
1,20,2011,"51",301085,301048,37,0.0122888885198532
1,20,2011,"53",252277,250702,1575,0.624313750361706
1,20,2011,"54",61957,62094,137,0.221121100117824
1,20,2011,"55",198230,196831,1399,0.705745850779398
1,20,2011,"56",21756,21612,144,0.66188637617209
1,25,2011,"01",152969,152934,35,0.022880452902222
1,25,2011,"02",29472,30188,716,2.42942453854506
1,25,2011,"04",229085,226284,2801,1.22269026780453
1,25,2011,"05",96715,95967,748,0.773406400248152
1,25,2011,"06",1432358,1429103,3255,0.227247657359403
1,25,2011,"08",196445,196377,68,0.0346152867214742
1,25,2011,"09",110443,110696,253,0.229077442662731
1,25,2011,"10",29392,29288,104,0.35383777898748
1,25,2011,"11",33817,34191,374,1.10595262737676
1,25,2011,"12",610109,612138,2029,0.332563525533962
1,25,2011,"13",341044,337887,3157,0.925687008127983
1,25,2011,"15",53012,53366,354,0.667773334339395
1,25,2011,"16",54147,54505,358,0.661163129997968
1,25,2011,"17",455853,454552,1301,0.285399021175686
1,25,2011,"18",209382,209135,247,0.117966205308957
1,25,2011,"19",101092,101502,410,0.40557116290112
1,25,2011,"20",100758,100776,18,0.017864586434824
1,25,2011,"21",142430,141779,651,0.457066629221372
1,25,2011,"22",166977,167131,154,0.0922282709594735
1,25,2011,"23",36509,36536,27,0.0739543674162535
1,25,2011,"24",198945,199672,727,0.365427630752218
1,25,2011,"25",225189,226472,1283,0.569743637566666
1,25,2011,"26",294686,294880,194,0.0658327847267939
1,25,2011,"27",188078,187145,933,0.496070779144823
1,25,2011,"28",97036,97266,230,0.237025433859599
1,25,2011,"29",201833,201659,174,0.0862098863912244
1,25,2011,"30",32853,32999,146,0.444403859617082
1,25,2011,"31",65682,65731,49,0.0746018696142018
1,25,2011,"32",99953,99406,547,0.547257210889118
1,25,2011,"33",37891,38034,143,0.377398326779446
1,25,2011,"34",282229,282716,487,0.172554911082844
1,25,2011,"35",73235,72663,572,0.781047313443026
1,25,2011,"36",696240,697608,1368,0.196483971044467
1,25,2011,"37",313234,312443,791,0.252526864899724
1,25,2011,"38",27318,27330,12,0.0439270810454645
1,25,2011,"39",359006,358882,124,0.0345398127050801
1,25,2011,"40",136048,135599,449,0.330030577443255
1,25,2011,"41",133775,132957,818,0.611474490749393
1,25,2011,"42",401399,403624,2225,0.554311296241396
1,25,2011,"44",33263,33791,528,1.58734930703785
1,25,2011,"45",152558,152319,239,0.15666172865402
1,25,2011,"46",29267,29101,166,0.567191717634196
1,25,2011,"47",207528,206223,1305,0.628830808372846
1,25,2011,"48",953115,951317,1798,0.188644602172875
1,25,2011,"49",113690,114178,488,0.429237399947225
1,25,2011,"50",17815,17789,26,0.145944428852091
1,25,2011,"51",289839,290576,737,0.254279099776083
1,25,2011,"53",252927,251726,1201,0.474840566645712
1,25,2011,"54",54324,54679,355,0.653486488476548
1,25,2011,"55",188531,187747,784,0.415846730776371
1,25,2011,"56",21547,21505,42,0.194922727061772
1,30,2011,"01",149620,149613,7,0.00467851891458361
1,30,2011,"02",25185,25829,644,2.55707762557078
1,30,2011,"04",217891,217554,337,0.154664488207406
1,30,2011,"05",94869,94755,114,0.120165702178794
1,30,2011,"06",1341241,1339862,1379,0.102815228583081
1,30,2011,"08",188335,188357,22,0.0116813125547562
1,30,2011,"09",104109,104208,99,0.0950926432873239
1,30,2011,"10",27399,27380,19,0.0693455965546188
1,30,2011,"11",28833,29295,462,1.60233066278223
1,30,2011,"12",571595,573387,1792,0.313508690593865
1,30,2011,"13",333754,331200,2554,0.765234274345776
1,30,2011,"15",46949,47193,244,0.519712879933545
1,30,2011,"16",53353,53333,20,0.0374861769722415
1,30,2011,"17",441942,441156,786,0.177851392264143
1,30,2011,"18",209649,209086,563,0.268544090360555
1,30,2011,"19",97452,98154,702,0.720354636128556
1,30,2011,"20",94508,94634,126,0.133322046810852
1,30,2011,"21",144726,144099,627,0.43323245304921
1,30,2011,"22",154295,154699,404,0.261836093198095
1,30,2011,"23",36210,36116,94,0.259596796465065
1,30,2011,"24",186440,187487,1047,0.561574769362798
1,30,2011,"25",204050,205084,1034,0.506738544474393
1,30,2011,"26",289758,288795,963,0.3323463027768
1,30,2011,"27",181316,181484,168,0.0926559156389949
1,30,2011,"28",94892,95061,169,0.178097205243856
1,30,2011,"29",192147,192349,202,0.105127844827138
1,30,2011,"30",31388,31485,97,0.309035300114693
1,30,2011,"31",61635,61835,200,0.324490954814635
1,30,2011,"32",99354,98951,403,0.405620307184411
1,30,2011,"33",36128,36134,6,0.016607617360496
1,30,2011,"34",280355,280542,187,0.0667011467603574
1,30,2011,"35",66863,66956,93,0.139090378834333
1,30,2011,"36",646373,647800,1427,0.220770360148088
1,30,2011,"37",311058,309039,2019,0.649075092105009
1,30,2011,"38",22958,23123,165,0.718703719836223
1,30,2011,"39",351892,351463,429,0.121912404942426
1,30,2011,"40",126858,126975,117,0.0922291065600908
1,30,2011,"41",134386,133888,498,0.370574315776941
1,30,2011,"42",375133,376326,1193,0.318020542047754
1,30,2011,"44",30954,31148,194,0.62673644763197
1,30,2011,"45",146131,146049,82,0.0561140346675243
1,30,2011,"46",26906,26883,23,0.0854827919423177
1,30,2011,"47",205885,205384,501,0.243339728489205
1,30,2011,"48",912904,912797,107,0.0117208381166037
1,30,2011,"49",114340,113902,438,0.383068042679727
1,30,2011,"50",17320,17261,59,0.340646651270208
1,30,2011,"51",272260,273632,1372,0.503930066847866
1,30,2011,"53",239655,239551,104,0.043395714673176
1,30,2011,"54",57503,57385,118,0.205206684868616
1,30,2011,"55",183627,183447,180,0.0980248002744694
1,30,2011,"56",19836,19817,19,0.0957854406130268
1,35,2011,"01",144329,144425,96,0.0665146990556298
1,35,2011,"02",22685,23120,435,1.91756667401367
1,35,2011,"04",205346,205482,136,0.0662296806365841
1,35,2011,"05",89262,89479,217,0.243104568573413
1,35,2011,"06",1267242,1265895,1347,0.106293825488739
1,35,2011,"08",178373,178220,153,0.0857753135283928
1,35,2011,"09",103709,103571,138,0.133064632770541
1,35,2011,"10",25835,25851,16,0.061931488291078
1,35,2011,"11",21636,21994,358,1.65464965797745
1,35,2011,"12",569235,569810,575,0.10101276274298
1,35,2011,"13",329688,328437,1251,0.379449661498144
1,35,2011,"15",43135,43420,285,0.66071635562768
1,35,2011,"16",48417,48638,221,0.456451246463019
1,35,2011,"17",414907,414909,2,0.00048203573330891
1,35,2011,"18",201210,201320,110,0.0546692510312609
1,35,2011,"19",87550,87976,426,0.486579097658481
1,35,2011,"20",85150,85330,180,0.211391661773341
1,35,2011,"21",138805,138500,305,0.219732718562011
1,35,2011,"22",135163,135682,519,0.383980823154266
1,35,2011,"23",36950,36859,91,0.246278755074425
1,35,2011,"24",175524,176574,1050,0.598208791960074
1,35,2011,"25",196462,197052,590,0.300312528631491
1,35,2011,"26",286916,286089,827,0.288237672350096
1,35,2011,"27",161045,161443,398,0.247135893694309
1,35,2011,"28",88379,88863,484,0.547641408026794
1,35,2011,"29",176073,176466,393,0.223202876079808
1,35,2011,"30",27838,27961,123,0.441842086356779
1,35,2011,"31",55356,55514,158,0.28542524748898
1,35,2011,"32",94209,93980,229,0.243076563810252
1,35,2011,"33",38006,37806,200,0.526232700099984
1,35,2011,"34",280292,280770,478,0.170536440569121
1,35,2011,"35",60462,60657,195,0.322516622010519
1,35,2011,"36",596031,598042,2011,0.337398558128688
1,35,2011,"37",312361,311468,893,0.285887162609929
1,35,2011,"38",19284,19364,80,0.414851690520639
1,35,2011,"39",339749,339404,345,0.101545552746292
1,35,2011,"40",115004,115167,163,0.141734200549546
1,35,2011,"41",125396,125657,261,0.208140610545791
1,35,2011,"42",363500,363116,384,0.105639614855571
1,35,2011,"44",29732,29804,72,0.242163325709673
1,35,2011,"45",140800,140769,31,0.0220170454545455
1,35,2011,"46",23400,23493,93,0.397435897435897
1,35,2011,"47",201894,201534,360,0.178311391126036
1,35,2011,"48",869841,869507,334,0.0383978221307112
1,35,2011,"49",93067,94034,967,1.03903639313613
1,35,2011,"50",17146,17059,87,0.507406975387846
1,35,2011,"51",259812,260072,260,0.100072360014164
1,35,2011,"53",221931,222083,152,0.0684897558250087
1,35,2011,"54",57074,57130,56,0.0981182324701265
1,35,2011,"55",168412,168523,111,0.065909792651355
1,35,2011,"56",17289,17302,13,0.0751923188154318
1,40,2011,"01",152993,153722,729,0.476492388540652
1,40,2011,"02",23995,24480,485,2.02125442800583
1,40,2011,"04",209943,210581,638,0.303892008783336
1,40,2011,"05",91949,92222,273,0.296903718365616
1,40,2011,"06",1327666,1325520,2146,0.161637038231001
1,40,2011,"08",181261,181778,517,0.285224069159941
1,40,2011,"09",125057,124389,668,0.53415642467035
1,40,2011,"10",29321,29131,190,0.64799972715801
1,40,2011,"11",19834,20104,270,1.36129877987295
1,40,2011,"12",626555,628796,2241,0.357670116749527
1,40,2011,"13",348522,349440,918,0.263398006438618
1,40,2011,"15",45073,44957,116,0.257360282208861
1,40,2011,"16",48824,48981,157,0.321563165656235
1,40,2011,"17",434296,434826,530,0.122036583344079
1,40,2011,"18",214651,215201,550,0.256229880131003
1,40,2011,"19",94848,94946,98,0.103323211875843
1,40,2011,"20",88012,87944,68,0.0772621915193383
1,40,2011,"21",146999,147313,314,0.213606895285002
1,40,2011,"22",142044,142191,147,0.103489059727972
1,40,2011,"23",44334,44290,44,0.0992466278702576
1,40,2011,"24",199874,199960,86,0.0430271070774588
1,40,2011,"25",225746,225331,415,0.183834929522561
1,40,2011,"26",328452,328247,205,0.0624139904765384
1,40,2011,"27",177452,176981,471,0.2654238892771
1,40,2011,"28",91662,92364,702,0.765857170910519
1,40,2011,"29",189241,189480,239,0.126293984918702
1,40,2011,"30",29100,29134,34,0.116838487972509
1,40,2011,"31",56141,56199,58,0.103311305463031
1,40,2011,"32",99966,100236,270,0.270091831222616
1,40,2011,"33",47392,47151,241,0.508524645509791
1,40,2011,"34",315086,314624,462,0.146626635267832
1,40,2011,"35",62527,62478,49,0.0783661458250036
1,40,2011,"36",659060,658722,338,0.0512851637180226
1,40,2011,"37",335332,335838,506,0.150895232187802
1,40,2011,"38",19745,19680,65,0.329197265130413
1,40,2011,"39",378989,379101,112,0.0295523089060632
1,40,2011,"40",116432,116820,388,0.333241720489213
1,40,2011,"41",128787,129257,470,0.364943666674431
1,40,2011,"42",419668,419260,408,0.0972197070064909
1,40,2011,"44",34793,34812,19,0.0546086856551605
1,40,2011,"45",150515,150845,330,0.219247251104541
1,40,2011,"46",24178,24137,41,0.169575647282654
1,40,2011,"47",215788,215951,163,0.075537101228984
1,40,2011,"48",869624,871610,1986,0.228374561879617
1,40,2011,"49",82118,82792,674,0.820770111303247
1,40,2011,"50",20335,20168,167,0.821244160314728
1,40,2011,"51",281265,281320,55,0.0195545126482143
1,40,2011,"53",237622,237473,149,0.0627046317260186
1,40,2011,"54",61090,61311,221,0.361761335734163
1,40,2011,"55",190023,189197,826,0.434684222436231
1,40,2011,"56",17464,17483,19,0.10879523591388
1,45,2011,"01",164110,164251,141,0.0859179818414478
1,45,2011,"02",26784,27226,442,1.65023894862605
1,45,2011,"04",209082,209294,212,0.101395624683139
1,45,2011,"05",98701,98706,5,0.00506580480440928
1,45,2011,"06",1324416,1324995,579,0.0437173818498115
1,45,2011,"08",179604,179186,418,0.232734237544821
1,45,2011,"09",138543,138782,239,0.172509617952549
1,45,2011,"10",32239,32230,9,0.0279164986507026
