"fips","sex","age","year","stateFips","countyFips","pop"
"02275",1,60,2011,"02","275",123
"02195",1,15,2011,"02","195",105
"02105",1,70,2011,"02","105",53
"02195",2,65,2011,"02","195",65
"46102",2,80,2011,"46","102",56
"46102",2,65,2011,"46","102",199
"46102",2,60,2011,"46","102",236
"46102",2,40,2011,"46","102",403
"46102",2,20,2011,"46","102",686
"46102",1,85,2011,"46","102",23
"46102",1,60,2011,"46","102",184
"46102",1,45,2011,"46","102",399
"46102",1,35,2011,"46","102",360
"46102",1,25,2011,"46","102",520
"46102",1,20,2011,"46","102",600
"46102",1,10,2011,"46","102",726
"46102",1,5,2011,"46","102",728
"46102",1,0,2011,"46","102",825
"46102",1,80,2011,"46","102",45
"02158",1,55,2011,"02","158",165
"02195",1,0,2011,"02","195",95
"02230",1,85,2011,"02","230",3
"02275",2,60,2011,"02","275",87
"46102",2,70,2011,"46","102",137
"46102",1,75,2011,"46","102",60
"02195",1,70,2011,"02","195",43
"02275",1,10,2011,"02","275",84
"02105",2,85,2011,"02","105",13
"02158",2,30,2011,"02","158",191
"46102",2,10,2011,"46","102",698
"46102",2,5,2011,"46","102",733
"02158",1,0,2011,"02","158",533
"02158",1,20,2011,"02","158",428
"02105",2,55,2011,"02","105",112
"02275",1,75,2011,"02","275",40
"46102",2,35,2011,"46","102",378
"02105",2,25,2011,"02","105",57
"46102",1,70,2011,"46","102",86
"02158",2,40,2011,"02","158",180
"02230",1,20,2011,"02","230",18
"46102",2,25,2011,"46","102",527
"02105",2,5,2011,"02","105",67
"02105",2,15,2011,"02","105",51
"02158",2,55,2011,"02","158",129
"02230",2,20,2011,"02","230",27
"02198",1,50,2011,"02","198",289
"02195",2,85,2011,"02","195",20
"02275",1,40,2011,"02","275",57
"02198",1,25,2011,"02","198",202
"46102",2,30,2011,"46","102",413
"02158",2,10,2011,"02","158",416
"02198",1,85,2011,"02","198",13
"46102",2,50,2011,"46","102",372
"02195",1,55,2011,"02","195",155
"46102",1,15,2011,"46","102",756
"02230",1,60,2011,"02","230",49
"02230",2,0,2011,"02","230",24
"46102",2,0,2011,"46","102",818
"02198",1,20,2011,"02","198",186
"46102",2,75,2011,"46","102",72
"02105",1,60,2011,"02","105",117
"02158",1,25,2011,"02","158",277
"02198",1,35,2011,"02","198",195
"02195",2,45,2011,"02","195",115
"02230",1,30,2011,"02","230",48
"02275",1,45,2011,"02","275",96
"02105",2,30,2011,"02","105",55
"02105",1,45,2011,"02","105",90
"02158",1,65,2011,"02","158",81
"02275",1,30,2011,"02","275",54
"02195",2,5,2011,"02","195",94
"46102",1,50,2011,"46","102",345
"02158",2,50,2011,"02","158",176
"02230",1,45,2011,"02","230",36
"02275",2,10,2011,"02","275",67
"02105",2,50,2011,"02","105",94
"02198",2,65,2011,"02","198",115
"02195",2,25,2011,"02","195",93
"02198",1,10,2011,"02","198",234
"02198",2,80,2011,"02","198",32
"02275",2,25,2011,"02","275",55
"02105",1,55,2011,"02","105",118
"02275",1,35,2011,"02","275",48
"46102",2,45,2011,"46","102",345
"46102",2,15,2011,"46","102",689
"02198",1,40,2011,"02","198",218
"02198",1,60,2011,"02","198",280
"02230",1,50,2011,"02","230",46
"02195",1,75,2011,"02","195",26
"02195",1,35,2011,"02","195",82
"02198",1,45,2011,"02","198",290
"02275",2,45,2011,"02","275",77
"02158",1,30,2011,"02","158",198
"02230",1,25,2011,"02","230",41
"02158",2,65,2011,"02","158",75
