"stateFips","sex","age","year","pop.new"
"42",2,25,2015,424372
"42",2,15,2015,407629
"42",2,5,2015,359314
"42",1,85,2015,110090
"42",1,75,2015,159726
"42",1,65,2015,330374
"42",1,50,2015,457980
"42",1,40,2015,377279
"54",2,40,2015,57297
"42",1,35,2015,369482
"42",1,20,2015,433927
"42",1,15,2015,422662
"42",1,10,2015,388303
"41",2,85,2015,53944
"41",2,80,2015,41579
"41",2,75,2015,57758
"41",2,65,2015,121217
"41",2,55,2015,141789
"48",2,20,2015,974934
"41",2,45,2015,125262
"41",2,40,2015,125768
"41",2,25,2015,136742
"41",2,15,2015,119930
"41",2,5,2015,118700
"41",1,85,2015,30385
"41",1,75,2015,50131
"41",1,65,2015,112269
"41",1,40,2015,129926
"53",2,40,2015,223637
"41",1,35,2015,135307
"41",1,20,2015,135438
"41",1,15,2015,125622
"41",1,10,2015,122719
"40",2,85,2015,44886
"40",2,80,2015,42028
"40",2,75,2015,56591
"40",2,65,2015,100137
"40",2,55,2015,132070
"47",2,20,2015,229124
"40",2,45,2015,113781
"40",2,40,2015,115950
"40",2,25,2015,133774
"50",2,10,2015,16759
"40",2,15,2015,126230
"40",2,5,2015,132770
"40",1,85,2015,24563
"40",1,65,2015,90427
"40",1,50,2015,126683
"40",1,40,2015,116443
"40",1,35,2015,123079
"54",2,15,2015,53893
"40",1,30,2015,136053
"40",1,20,2015,148467
"40",1,15,2015,134736
"40",1,10,2015,135378
"39",2,85,2015,168221
"39",2,80,2015,136675
"39",2,75,2015,178324
"39",2,65,2015,325133
"39",2,55,2015,436385
"40",1,55,2015,124742
"39",2,50,2015,421403
"46",2,20,2015,29530
"39",2,45,2015,377322
"39",2,40,2015,355696
"39",2,30,2015,362414
"39",2,25,2015,379571
"39",2,15,2015,377056
"39",2,5,2015,353992
"39",1,85,2015,84799
"39",1,65,2015,291291
"42",2,50,2015,474070
"39",1,55,2015,413817
"39",1,40,2015,350058
"39",1,35,2015,343701
"39",1,20,2015,394546
"39",1,15,2015,394967
"39",1,10,2015,381690
"38",2,85,2015,11884
"38",2,80,2015,8620
"38",2,75,2015,9882
"38",2,65,2015,16397
"48",1,5,2015,1034124
