"","monthdth","age","fips","sex","deaths.x","year.x","year.y","deaths.y","diff"
"127104",12,85,"48085",2,41,2009,2009,40,1
"202147",2,85,"17031",2,654,2009,2009,651,3
"243788",3,85,"17031",2,675,2009,2009,672,3
"284735",4,85,"17031",2,680,2009,2009,679,1
"287978",4,85,"48029",1,90,2009,2009,89,1
"409153",7,85,"40125",1,4,2009,2009,3,1
