"stateFips","sex","age","year","pop.new"
"56",2,80,2014,5452
"56",2,75,2014,7065
"56",2,65,2014,14058
"56",2,60,2014,18518
"56",2,45,2014,15938
"56",2,25,2014,19450
"56",2,15,2014,17842
"56",2,0,2014,18919
"56",1,65,2014,14622
"56",1,50,2014,20332
"56",1,45,2014,16823
"56",1,40,2014,17702
"56",1,35,2014,18761
"56",1,30,2014,21498
"56",1,25,2014,21438
"56",1,20,2014,22977
"56",1,10,2014,19296
"55",2,80,2014,66120
"55",2,75,2014,82159
"55",2,65,2014,143948
"55",2,60,2014,182128
"55",2,45,2014,189621
"55",2,15,2014,187388
"55",2,0,2014,167049
"55",1,65,2014,137981
"55",1,50,2014,216713
"55",1,45,2014,191619
"55",1,40,2014,176152
"55",1,35,2014,173668
"55",1,30,2014,188951
"55",1,25,2014,182885
"55",1,20,2014,205798
"55",1,10,2014,189801
"54",2,80,2014,23980
"54",2,75,2014,32394
"54",2,65,2014,57006
"54",2,60,2014,67293
"54",2,45,2014,59485
"54",2,25,2014,52321
"56",2,70,2014,9977
"54",2,15,2014,53895
"54",2,0,2014,50599
"54",1,50,2014,64859
"54",1,45,2014,60145
"54",1,40,2014,59499
"54",1,35,2014,56039
"54",1,30,2014,56132
"54",1,25,2014,55079
"54",1,20,2014,63237
"54",1,10,2014,54874
"54",1,0,2014,52342
"53",2,80,2014,64569
"53",2,75,2014,86288
"53",2,65,2014,181508
"53",2,60,2014,222009
"53",2,45,2014,224973
"55",2,70,2014,107294
"53",2,15,2014,213451
"53",2,0,2014,217639
"53",1,50,2014,244916
"53",1,45,2014,228807
"53",1,40,2014,232199
"53",1,35,2014,233578
"53",1,30,2014,259586
"53",1,25,2014,267332
"53",1,20,2014,260564
"53",1,10,2014,223856
"51",2,85,2014,92219
"51",2,65,2014,209798
"51",2,60,2014,249530
"51",2,55,2014,291888
"54",2,70,2014,41776
"51",2,30,2014,289791
"51",2,20,2014,291777
"51",2,15,2014,263623
"51",2,5,2014,254613
"51",2,0,2014,250640
"51",1,40,2014,273732
"51",1,15,2014,273348
"51",1,10,2014,266217
"50",2,85,2014,9384
"50",2,65,2014,18799
"50",2,60,2014,23306
"50",2,55,2014,25791
"51",1,55,2014,272651
"50",2,50,2014,25535
"53",2,70,2014,125607
"50",2,30,2014,18286
"50",2,20,2014,22445
"50",2,15,2014,21541
"50",2,5,2014,16000
"50",2,0,2014,14634
"50",1,55,2014,24933
"50",1,40,2014,18478
"50",1,15,2014,22533
"50",1,10,2014,18162
"49",2,85,2014,20973
"49",2,65,2014,51450
"49",2,60,2014,65178
"49",2,55,2014,75633
"49",2,30,2014,111455
"49",2,20,2014,122197
"51",2,70,2014,152227
"49",2,15,2014,111432
"49",2,5,2014,127562
"49",2,0,2014,122635
"49",1,80,2014,16347
"49",1,40,2014,89815
"49",1,35,2014,107327
"49",1,20,2014,126450
"49",1,15,2014,115377
"49",1,10,2014,127801
"48",2,85,2014,235781
"48",2,65,2014,566065
"48",2,60,2014,699889
"48",2,55,2014,828143
"49",1,55,2014,73578
"48",2,50,2014,892660
"48",2,40,2014,919964
"48",2,30,2014,971293
"48",2,20,2014,971073
"50",2,70,2014,13212
"48",2,15,2014,929070
"48",2,5,2014,985889
"48",2,0,2014,960645
"51",2,50,2014,311576
"48",1,55,2014,791478
"48",1,40,2014,905778
"48",1,15,2014,980070
"48",1,10,2014,1014766
"47",2,85,2014,75016
"50",2,75,2014,9211
"47",2,65,2014,178803
"47",2,60,2014,208178
"47",2,55,2014,232822
"47",2,40,2014,220023
"47",2,30,2014,215668
"47",2,20,2014,231126
"56",2,10,2014,18080
"49",2,70,2014,38501
"47",2,15,2014,204125
"47",2,5,2014,205188
"47",2,0,2014,196440
"47",1,80,2014,46811
"47",1,40,2014,214067
"47",1,35,2014,200517
"47",1,20,2014,235390
"47",1,15,2014,214294
"47",1,10,2014,215155
"46",2,85,2014,13875
"46",2,65,2014,20004
"46",2,60,2014,26404
"46",2,55,2014,29331
"47",1,55,2014,213734
"46",2,50,2014,29443
"46",2,40,2014,22832
"46",2,30,2014,27298
"46",2,20,2014,29403
"55",2,10,2014,181357
"48",2,70,2014,407802
"46",2,15,2014,27677
"46",2,5,2014,29305
"46",2,0,2014,29599
"46",1,80,2014,7401
"49",2,50,2014,78333
"46",1,55,2014,29425
"46",1,40,2014,23895
"46",1,15,2014,29448
"46",1,10,2014,28800
"45",2,85,2014,53854
"48",2,75,2014,295584
"45",2,65,2014,143446
"45",2,60,2014,162580
"45",2,55,2014,172600
"45",2,30,2014,155876
"51",1,5,2014,265568
"45",2,20,2014,171606
"54",2,10,2014,52481
"47",2,70,2014,132129
"45",2,15,2014,151137
"45",2,5,2014,151646
"45",2,0,2014,142169
"45",1,80,2014,35221
"45",1,40,2014,149854
"45",1,35,2014,141405
"45",1,20,2014,181811
"56",1,75,2014,6405
"45",1,15,2014,159841
"45",1,10,2014,154536
"44",2,85,2014,19329
"51",2,75,2014,108086
"44",2,65,2014,27645
"44",2,60,2014,33936
"44",2,55,2014,40386
"45",1,55,2014,154780
"44",2,50,2014,41346
"44",2,40,2014,33384
"44",2,30,2014,32955
"50",1,5,2014,16900
"44",2,20,2014,40014
"53",2,10,2014,214525
"46",2,70,2014,14983
"44",2,15,2014,37350
"44",2,5,2014,28260
"44",2,0,2014,26979
"44",1,80,2014,8459
"47",2,50,2014,239561
"44",1,55,2014,37129
