"","sex","age","(Intercept)","year.centre","start.value","end.value","sex.long","Estimate","Std. Error","t value","Pr(>|t|)","sig.test.10","sig.test.5","grad.uci","grad.lci","diff","diff.uci","diff.lci","start.value.2","end.value.2","cause"
"61",1,5,1.01085045604391,1.2057379405875e-05,1.01085045604391,1.0112483495643,"Men",1.2057379405875e-05,0.00320861120493293,0.00375781876823777,0.997025030863684,0,0,0.00630093534107441,-0.00627682058226266,0.0397893520393874,20.7930866255456,-20.7135079214668,1.09999999999999,1.09999999999999,"Cancer"
"21",1,15,1.10955126924405,-0.00352596944532149,1.10955126924405,0.993194277548442,"Men",-0.00352596944532149,0.00277108500398686,-1.27241475459921,0.212394165624056,0,0,0.00190535716249276,-0.00895729605313574,-11.6356991695609,6.28767863622611,-29.559076975348,11,-0.700000000000003,"Cancer"
"31",1,25,1.03581380437305,-0.00084856284891012,1.03581380437305,1.00781123035902,"Men",-0.00084856284891012,0.00167934335978695,-0.505294431877097,0.616814790130888,0,0,0.00244295013627229,-0.00414007583409253,-2.8002574014034,8.06173544969857,-13.6622502525054,3.59999999999999,0.799999999999997,"Cancer"
"41",1,35,1.02744583415855,0.00152842085121148,1.02744583415855,1.07788372224852,"Men",0.00152842085121148,0.00122434338977386,1.2483596219634,0.220956172755695,0,0,0.00392813389516825,-0.000871292192745282,5.04378880899789,12.9628418540552,-2.87526423605943,2.7,7.8,"Cancer"
"51",1,45,1.03086021247905,-0.000223772786042441,1.03086021247905,1.02347571053965,"Men",-0.000223772786042441,0.000510858637539469,-0.438032695542224,0.66430531142695,0,0,0.000777510143534918,-0.0012250557156198,-0.738450193940057,2.56578347366523,-4.04268386154534,3.09999999999999,2.3,"Cancer"
"71",1,55,1.03274980181755,0.000652306732134433,1.03274980181755,1.05427592397798,"Men",0.000652306732134433,0.000309135762741404,2.11009792703957,0.0427598757292487,1,1,0.00125821282710758,4.64006371612801e-05,2.15261221604363,4.15210232945503,0.153122102632224,3.3,5.40000000000001,"Cancer"
"81",1,65,1.03457470798236,0.000659236110999239,1.03457470798236,1.05632949964534,"Men",0.000659236110999239,0.000372972417069992,1.76751974362631,0.0866770760944493,1,0,0.00139026204845642,-7.17898264579459e-05,2.17547916629749,4.5878647599062,-0.236906427311221,3.5,5.59999999999999,"Cancer"
"91",1,75,1.0453736795921,0.000680258647940314,1.0453736795921,1.06782221497413,"Men",0.000680258647940314,0.000450872934789411,1.50875911027581,0.141171420399686,0,0,0.00156396960012756,-0.000203452304246931,2.24485353820304,5.16109968042094,-0.671392604014871,4.5,6.8,"Cancer"
"101",1,85,1.06850979660296,0.000203622540188071,1.06850979660296,1.07522934042917,"Men",0.000203622540188071,0.000710928441239408,0.286417771995564,0.77640439658801,0,0,0.00159704228501731,-0.00118979720464117,0.671954382620633,5.27023954055712,-3.92633077531586,6.90000000000001,7.5,"Cancer"
"111",2,0,1.1306353373941,-0.00468849466218013,1.1306353373941,0.975915013542159,"Women",-0.00468849466218013,0.00542246079603245,-0.864643348940512,0.393670193961094,0,0,0.00593952849804346,-0.0153165178224037,-15.4720323851944,19.6004440435434,-50.5445088139323,13.1,-2.40000000000001,"Cancer"
"161",2,5,1.15551340502798,-0.00388673181652921,1.15551340502798,1.02725125508252,"Women",-0.00388673181652921,0.0043292284067243,-0.89778857832777,0.376003782335307,0,0,0.00459855586065042,-0.0123720194937088,-12.8262149945464,15.1752343401464,-40.8276643292392,15.6,2.7,"Cancer"
"121",2,15,1.10569087789795,-0.00329195095251295,1.10569087789795,0.997056496465026,"Women",-0.00329195095251295,0.00330272376125101,-0.996738204731365,0.326369420293014,0,0,0.00318138761953902,-0.00976528952456493,-10.8634381432927,10.4985791444788,-32.2254554310643,10.6,-0.299999999999997,"Cancer"
"131",2,25,0.970417559684064,0.00256088608365619,0.970417559684064,1.05492680044472,"Women",0.00256088608365619,0.00200578595118544,1.27674943686922,0.210878351787416,0,0,0.00649222654797965,-0.00137045438066727,8.45092407606544,21.4243476083329,-4.52249945620198,-3,5.5,"Cancer"
"141",2,35,0.99662538723667,0.000204050347255147,0.99662538723667,1.00335904869609,"Women",0.000204050347255147,0.00129809246035926,0.157192460079981,0.876080819892629,0,0,0.0027483115695593,-0.002340210875049,0.673366145941986,9.06942817954569,-7.72269588766171,-0.299999999999997,0.299999999999997,"Cancer"
"151",2,45,1.05005293064035,-0.000814574264969041,1.05005293064035,1.02317197989637,"Women",-0.000814574264969041,0.000755617920509769,-1.07802401565529,0.289082647014383,0,0,0.000666436859230106,-0.00229558538916819,-2.68809507439783,2.19924163545935,-7.57543178425502,5,2.3,"Cancer"
"171",2,55,1.03110775471555,0.000256540856329446,1.03110775471555,1.03957360297443,"Women",0.000256540856329446,0.000491363701834287,0.522099730549418,0.605196559427381,0,0,0.00121961371192465,-0.000706531999265757,0.846584825887173,4.02472524935134,-2.331555597577,3.09999999999999,4,"Cancer"
"181",2,65,1.0441558666545,-0.000778369985033271,1.0441558666545,1.0184696571484,"Women",-0.000778369985033271,0.000449532075200471,-1.73151156051802,0.0929925776739046,1,0,0.000102712882359653,-0.0016594528524262,-2.56862095060979,0.338952511786855,-5.47619441300644,4.40000000000001,1.8,"Cancer"
"191",2,75,1.04668505536987,0.000177999712437182,1.04668505536987,1.0525590458803,"Women",0.000177999712437182,0.000439293982079462,0.405194971245894,0.688030452363422,0,0,0.00103901591731293,-0.000683016492438564,0.5873990510427,3.42875252713266,-2.25395442504726,4.7,5.3,"Cancer"
"201",2,85,1.06337791207838,-0.000377920944956394,1.06337791207838,1.05090652089482,"Women",-0.000377920944956394,0.000647534621882032,-0.583630484278945,0.563560406150502,0,0,0.000891246913932389,-0.00164708880384518,-1.2471391183561,2.94111481597689,-5.43539305268908,6.3,5.09999999999999,"Cancer"
"112",1,0,1.804209750715,-0.0124283241060291,1.804209750715,1.39407505521604,"Men",-0.0124283241060291,0.00429963177323118,-2.89055546184347,0.00685431876404892,1,1,-0.004001045830496,-0.0208556023815622,-41.0134695498961,-13.2034512406368,-68.8234878591553,80.4,39.4,"Cardiopulmonary"
"62",1,5,1.31406369042107,0.00560724777884099,1.31406369042107,1.49910286712282,"Men",0.00560724777884099,0.00711103227869616,0.788527960369364,0.436190985699358,0,0,0.0195448710450855,-0.00833037548740349,18.5039176701753,64.4980744487821,-27.4902391084315,31.4,49.9,"Cardiopulmonary"
"22",1,15,1.08977982351471,0.00171412339248882,1.08977982351471,1.14634589546684,"Men",0.00171412339248882,0.00323599090073221,0.529705875285671,0.599972072823544,0,0,0.00805666555792396,-0.00462841877294631,5.65660719521312,26.5869963411491,-15.2737819507228,9,14.6,"Cardiopulmonary"
"32",1,25,1.08716566221029,0.00366233578842592,1.08716566221029,1.20802274322835,"Men",0.00366233578842592,0.00179223905425918,2.04344157087892,0.0493149069254626,1,1,0.00717512433477391,0.000149547242077929,12.0857081018055,23.6779103047539,0.493505898857165,8.7,20.8,"Cardiopulmonary"
"42",1,35,1.11869154867813,0.00121153803896818,1.11869154867813,1.15867230396408,"Men",0.00121153803896818,0.00112985615058571,1.07229406003599,0.291608486212787,0,0,0.00342605609411617,-0.00100298001617981,3.99807552859499,11.3059851105834,-3.30983405339337,11.9,15.9,"Cardiopulmonary"
"52",1,45,1.15679094875298,0.000393210293630254,1.15679094875298,1.16976688844277,"Men",0.000393210293630254,0.000682955692194029,0.575747882512035,0.568812815125331,0,0,0.00173180345033055,-0.000945382863070044,1.29759396897984,5.71495138609082,-3.11976344813114,15.7,17,"Cardiopulmonary"
"72",1,55,1.20609057742066,0.000239318967979468,1.20609057742066,1.21398810336398,"Men",0.000239318967979468,0.000850322651936083,0.281444893223257,0.780181205631265,0,0,0.00190595136577419,-0.00142731342981526,0.789752594332244,6.28963950705483,-4.71013431839034,20.6,21.4,"Cardiopulmonary"
"82",1,65,1.2527508982981,0.000943054656548907,1.2527508982981,1.28387170196422,"Men",0.000943054656548907,0.000937245018129724,1.00619863355558,0.321868357400885,0,0,0.00278005489208317,-0.000893945578985352,3.11208036661139,9.17418114387445,-2.95002041065166,25.3,28.4,"Cardiopulmonary"
"92",1,75,1.31445753321065,0.00011347153903004,1.31445753321065,1.31820209399864,"Men",0.00011347153903004,0.00125264314715414,0.0905856861851154,0.9283864596944,0,0,0.00256865210745215,-0.00234170902939207,0.374456078799132,8.47655195459209,-7.72763979699383,31.4,31.8,"Cardiopulmonary"
"102",1,85,1.41008657947845,-0.00210360092157967,1.41008657947845,1.34066774906632,"Men",-0.00210360092157967,0.00157117107952911,-1.33887451785972,0.19004573667436,0,0,0.000975894394297375,-0.00518309623745672,-6.94188304121292,3.22045150118134,-17.1042175836072,41,34.1,"Cardiopulmonary"
"113",2,0,1.75316706034132,-0.00882189297177864,1.75316706034132,1.46204459227263,"Women",-0.00882189297177864,0.00476680762112587,-1.85069205073038,0.0734643574059237,1,0,0.000521049965628064,-0.0181648359091853,-29.1122468068695,1.71946488657261,-59.9439585003117,75.3,46.2,"Cardiopulmonary"
"162",2,5,1.3235676632588,0.0139972301707235,1.3235676632588,1.78547625889267,"Women",0.0139972301707235,0.00760357774920503,1.8408742084852,0.0749285179415127,1,0,0.0289002425591653,-0.000905782217718391,46.1908595633874,95.3708004452455,-2.98908131847069,32.4,78.5,"Cardiopulmonary"
"122",2,15,1.22753578425199,-0.00275124604613203,1.22753578425199,1.13674466472964,"Women",-0.00275124604613203,0.00430970511954321,-0.638383826692911,0.527766560005318,0,0,0.00569577598817266,-0.0111982680804367,-9.07911195223568,18.7960607609698,-36.9542846654412,22.8,13.7,"Cardiopulmonary"
"132",2,25,1.19553308916825,-0.00261525008206383,1.19553308916825,1.10922983646015,"Women",-0.00261525008206383,0.00238438991285317,-1.09682148375406,0.28090505201388,0,0,0.00205815414712839,-0.00728865431125604,-8.63032527081062,6.79190868552368,-24.0525592271449,19.6,10.9,"Cardiopulmonary"
"142",2,35,1.14479091885211,0.0017510947358679,1.14479091885211,1.20257704513575,"Women",0.0017510947358679,0.00169175214960456,1.03507758880473,0.308391905443429,0,0,0.00506692894909283,-0.00156473947735703,5.77861262836407,16.7208655320063,-5.1636402752782,14.5,20.3,"Cardiopulmonary"
"152",2,45,1.19594394124704,0.00170100346860037,1.19594394124704,1.25207705571085,"Women",0.00170100346860037,0.00117039630569724,1.45335683333947,0.155862074540529,0,0,0.00399498022776697,-0.000592973290566235,5.6133114463812,13.183434751631,-1.95681185886857,19.6,25.2,"Cardiopulmonary"
"172",2,55,1.23833867563145,0.001222396574039,1.23833867563145,1.27867776257474,"Women",0.001222396574039,0.00122495835852702,0.997908676266274,0.325810224194203,0,0,0.00362331495675196,-0.00117852180867395,4.03390869432871,11.9569393572815,-3.88912196862403,23.8,27.9,"Cardiopulmonary"
"182",2,65,1.25769977333903,0.00157819424609519,1.25769977333903,1.30978018346017,"Women",0.00157819424609519,0.00119212120313398,1.32385385139218,0.194931308577929,0,0,0.00391475180423779,-0.000758363312047406,5.20804101211414,12.9186809539847,-2.50259892975644,25.8,31,"Cardiopulmonary"
"192",2,75,1.30275907320528,0.000828090754549057,1.30275907320528,1.3300860681054,"Women",0.000828090754549057,0.00138904735705463,0.596157323465889,0.555264096829655,0,0,0.00355062357437614,-0.00189444206527802,2.73269949001189,11.7170577954413,-6.25165881541748,30.3,33,"Cardiopulmonary"
"202",2,85,1.40364363511302,-0.00225682088541582,1.40364363511302,1.3291685458943,"Women",-0.00225682088541582,0.00172294722498557,-1.30986071580615,0.199568945512276,0,0,0.0011201556755559,-0.00563379744638755,-7.44750892187222,3.69651372933447,-18.5915315730789,40.4,32.9,"Cardiopulmonary"
"114",1,0,1.21166112059921,0.00795036805640766,1.21166112059921,1.47402326646066,"Men",0.00795036805640766,0.00232985016241108,3.412394575701,0.00176329764653358,1,1,0.0125168743747334,0.00338386173808194,26.2362145861453,41.3056854366202,11.1667437356704,21.2,47.4,"External"
"63",1,5,1.98767350101227,-0.010030883314782,1.98767350101227,1.65665435162447,"Men",-0.010030883314782,0.00358301271181682,-2.79956676729057,0.00860167225980689,1,1,-0.00300817839962107,-0.017053588229943,-33.1019149387807,-9.92698871874954,-56.2768411588119,98.8,65.7,"External"
"23",1,15,1.52090606930567,-0.0102317445332912,1.52090606930567,1.18325849970706,"Men",-0.0102317445332912,0.00181965077631751,-5.62291658732318,3.24247557525462e-06,1,1,-0.0066652290117089,-0.0137982600548735,-33.764756959861,-21.9952557386394,-45.5342581810826,52.1,18.3,"External"
"33",1,25,1.30851394325457,-0.00404585667799054,1.30851394325457,1.17500067288089,"Men",-0.00404585667799054,0.00105344197371827,-3.84060705660903,0.00054687806187463,1,1,-0.00198111040950273,-0.00611060294647836,-13.3513270373688,-6.53766435135899,-20.1649897233786,30.9,17.5,"External"
"43",1,35,1.16738865200122,-0.000634556941987636,1.16738865200122,1.14644827291563,"Men",-0.000634556941987636,0.00106249412791367,-0.597233363758594,0.554554378258779,0,0,0.00144793154872316,-0.00271704543269843,-2.0940379085592,4.77817411078642,-8.96624992790482,16.7,14.6,"External"
"53",1,45,1.07776218149137,0.00151602175467387,1.07776218149137,1.12779089939561,"Men",0.00151602175467387,0.00122010877246319,1.242530001332,0.223069634540982,0,0,0.00390743494870171,-0.000875391439353977,5.00287179042376,12.8945353307156,-2.88879174986812,7.8,12.8,"External"
"73",1,55,0.990296395641124,0.00394327914241371,0.990296395641124,1.12042460734078,"Men",0.00394327914241371,0.000839550600220038,4.69689276784534,4.78546194022638e-05,1,1,0.00558879831884499,0.00229775996598244,13.0128211699652,18.4430344521885,7.58260788774205,-1,12,"External"
"83",1,65,0.968425131709119,0.00242013837121031,0.968425131709119,1.04828969795906,"Men",0.00242013837121031,0.00105755581784189,2.28842613352455,0.0288619643351293,1,1,0.00449294777418041,0.000347328968240207,7.98645662499401,14.8267276547953,1.14618559519268,-3.2,4.8,"External"
"93",1,75,1.1175344509356,-0.00195425083883565,1.1175344509356,1.05304417325402,"Men",-0.00195425083883565,0.00123611057949782,-1.5809676506689,0.123720543766175,0,0,0.000468525896980088,-0.00437702757465139,-6.44902776815764,1.54613546003429,-14.4441909963496,11.8,5.3,"External"
"103",1,85,1.27565730165906,-0.00435727277416753,1.27565730165906,1.13186730011153,"Men",-0.00435727277416753,0.00202378868047419,-2.15302754492459,0.0389579707548924,1,1,-0.000390646960438114,-0.00832389858789695,-14.3790001547528,-1.28913496944578,-27.4688653400599,27.6,13.2,"External"
"115",2,0,1.08597704492808,0.00950712441023433,1.08597704492808,1.39971215046581,"Women",0.00950712441023433,0.00282949762612738,3.36000437761327,0.00202848689716083,1,1,0.015052939757444,0.00396130906302467,31.3735105537733,49.6747011995652,13.0723199079814,8.59999999999999,40,"External"
"163",2,5,1.59941749188106,-0.00342172748689594,1.59941749188106,1.4865004848135,"Women",-0.00342172748689594,0.00437843825197849,-0.781494973772843,0.440255436770718,0,0,0.0051600114869819,-0.0120034664607738,-11.2917007067566,17.0280379070403,-39.6114393205535,59.9,48.7,"External"
"123",2,15,1.32358705511179,-0.00761699279843708,1.32358705511179,1.07222629276336,"Women",-0.00761699279843708,0.00149949591807103,-5.07970225636604,1.57612176820846e-05,1,1,-0.00467798079901786,-0.0105560047978563,-25.1360762348424,-15.437336636759,-34.8348158329258,32.4,7.2,"External"
"133",2,25,1.17252885496086,-0.00347476194370433,1.17252885496086,1.05786171081862,"Women",-0.00347476194370433,0.00124198501245827,-2.79774869169049,0.00864050673343477,1,1,-0.00104047131928612,-0.00590905256812255,-11.4667144142243,-3.43355535364418,-19.4998734748044,17.3,5.8,"External"
"143",2,35,1.0965646990268,-0.00100413242370742,1.0965646990268,1.06342832904446,"Women",-0.00100413242370742,0.00141046647131438,-0.711915131716449,0.481675696425448,0,0,0.00176038186006878,-0.00376864670748361,-3.31363699823447,5.80926013822697,-12.4365341346959,9.7,6.3,"External"
"153",2,45,1.06863097700953,-0.00278687339503566,1.06863097700953,0.976664154973354,"Women",-0.00278687339503566,0.00113330816824554,-2.45906053897943,0.019522062238255,1,1,-0.000565589385274409,-0.00500815740479692,-9.19668220361769,-1.86644497140555,-16.5269194358298,6.90000000000001,-2.3,"External"
"173",2,55,1.00883258332355,-0.000220922823281738,1.00883258332355,1.00154213015525,"Women",-0.000220922823281738,0.00147275724481553,-0.150006271610234,0.88170117942565,0,0,0.0026656813765567,-0.00310752702312017,-0.729045316829734,8.7967485426371,-10.2548391762966,0.900000000000006,0.200000000000003,"External"
"183",2,65,1.13858674856249,-0.000576088018089203,1.13858674856249,1.11957584396555,"Women",-0.000576088018089203,0.00146196876122242,-0.394049471759922,0.696158244877129,0,0,0.00228937075390674,-0.00344154679008515,-1.90109045969437,7.55492348789225,-11.357104407281,13.9,12,"External"
"193",2,75,1.24819082931907,-0.00398739331185423,1.24819082931907,1.11660685002788,"Women",-0.00398739331185423,0.00178413988249292,-2.23491069897657,0.0325312671827909,1,1,-0.000490479142168106,-0.00748430748154036,-13.158397929119,-1.61858116915475,-24.6982146890832,24.8,11.7,"External"
"203",2,85,1.32173070424206,-0.00442519384705067,1.32173070424206,1.17569930728939,"Women",-0.00442519384705067,0.00222541117384458,-1.98848370092695,0.0553677476261763,1,0,-6.33879463152855e-05,-0.00878699974778606,-14.6031396952672,-0.209180222840442,-28.997099167694,32.2,17.6,"External"
"116",1,0,1.13554068095434,-0.0040090967018933,1.13554068095434,1.00324048979186,"Men",-0.0040090967018933,0.000819533800260935,-4.89192355533942,2.71991729465597e-05,1,1,-0.00240281045338187,-0.00561538295040473,-13.2300191162479,-7.92927449616016,-18.5307637363356,13.6,0.299999999999997,"Other"
"64",1,5,1.40004290944787,-0.00528667415615468,1.40004290944787,1.22558266229477,"Men",-0.00528667415615468,0.00491642755693991,-1.07530805547865,0.29027794701665,0,0,0.00434952385544754,-0.0149228721677569,-17.4460247153104,14.3534287229769,-49.2454781535977,40,22.6,"Other"
"24",1,15,1.11635501593837,-0.000805498390089697,1.11635501593837,1.08977356906541,"Men",-0.000805498390089697,0.00253038591232056,-0.318330253961537,0.752302779037575,0,0,0.00415405799805859,-0.00576505477823799,-2.658144687296,13.7083913935934,-19.0246807681854,11.6,9,"Other"
"34",1,25,1.05937856186344,0.00142929030155789,1.05937856186344,1.10654514181485,"Men",0.00142929030155789,0.00205522012666854,0.695443900636927,0.491797007575497,0,0,0.00545752174982824,-0.00259894114671245,4.71665799514104,18.0098217744332,-8.5765057841511,5.90000000000001,10.7,"Other"
"44",1,35,1.08463495569711,-2.40192094707946e-06,1.08463495569711,1.08455569230585,"Men",-2.40192094707946e-06,0.0013805217749174,-0.00173986458650619,0.99862259102019,0,0,0.00270342075789103,-0.00270822459978519,-0.00792633912536223,8.9212885010404,-8.93714117929113,8.5,8.5,"Other"
"54",1,45,1.12415547176568,-0.000580549610131026,1.12415547176568,1.10499733463136,"Men",-0.000580549610131026,0.000855272975462233,-0.678788675413562,0.502151832976463,0,0,0.00109578542177495,-0.002256884642037,-1.91581371343238,3.61609189185734,-7.44771931872211,12.4,10.5,"Other"
"74",1,55,1.1597984374833,-0.000211672854045405,1.1597984374833,1.15281323329981,"Men",-0.000211672854045405,0.000959473771281654,-0.220613486664315,0.826794946516158,0,0,0.00166889573766664,-0.00209224144575745,-0.698520418349837,5.5073559342999,-6.90439677099958,16,15.3,"Other"
"84",1,65,1.18009449170615,0.00133308795336497,1.18009449170615,1.22408639416719,"Men",0.00133308795336497,0.00114847755234535,1.16074358670974,0.254332497256913,0,0,0.00358410395596186,-0.000917928049231931,4.39919024610438,11.8275430546741,-3.02916256246537,18,22.4,"Other"
"94",1,75,1.24583827826601,0.000672003591538675,1.24583827826601,1.26801439678679,"Men",0.000672003591538675,0.00162766311547784,0.412864053469314,0.682459587419708,0,0,0.00386222329787525,-0.0025182161147979,2.21761185207763,12.7453368829883,-8.31011317883307,24.6,26.8,"Other"
"104",1,85,1.29755363111052,0.000194172669655527,1.29755363111052,1.30396132920916,"Men",0.000194172669655527,0.00220513423649803,0.0880548070234001,0.930381871969909,0,0,0.00451623577319167,-0.00412789043388061,0.640769809863239,14.9035780515325,-13.622038431806,29.8,30.4,"Other"
"117",2,0,1.08163470606441,-0.00137704413356459,1.08163470606441,1.03619224965678,"Women",-0.00137704413356459,0.00109089095308166,-1.26231144338907,0.21595921120773,0,0,0.000761102134475472,-0.00351519040160465,-4.54424564076315,2.51163704376906,-11.6001283252954,8.2,3.59999999999999,"Other"
"164",2,5,1.40354359618242,0.00083644756837986,1.40354359618242,1.43114636593896,"Women",0.00083644756837986,0.00360738005657285,0.231871207153736,0.818114482769944,0,0,0.00790691247926265,-0.00623401734250293,2.76027697565354,26.0928111815667,-20.5722572302597,40.4,43.1,"Other"
"124",2,15,1.13681242791098,-0.00122094367619633,1.13681242791098,1.0965212865965,"Women",-0.00122094367619633,0.00189035796061541,-0.645879617318006,0.522962379135977,0,0,0.00248415792660987,-0.00492604527900253,-4.02911413144788,8.19772115781258,-16.2559494207083,13.7,9.7,"Other"
"134",2,25,1.06548484484806,0.00140986298859801,1.06548484484806,1.1120103234718,"Women",0.00140986298859801,0.00168072244104899,0.838843436705752,0.407780008583189,0,0,0.00470407897305403,-0.001884352995858,4.65254786237344,15.5234606110783,-6.2183648863314,6.5,11.2,"Other"
