"cause","cause.sub","icd"
"4298","Cardiovascular",9
"4299","Cardiovascular",9
"4300","Cardiovascular",9
"4310","Cardiovascular",9
"4320","Cardiovascular",9
"4321","Cardiovascular",9
"4329","Cardiovascular",9
"4330","Cardiovascular",9
"4331","Cardiovascular",9
"4332","Cardiovascular",9
"4333","Cardiovascular",9
"4338","Cardiovascular",9
"4339","Cardiovascular",9
"4340","Cardiovascular",9
"4341","Cardiovascular",9
"4349","Cardiovascular",9
"4350","Cardiovascular",9
"4360","Cardiovascular",9
"4370","Cardiovascular",9
"4371","Cardiovascular",9
"4372","Cardiovascular",9
"4373","Cardiovascular",9
"4374","Cardiovascular",9
"4375","Cardiovascular",9
"4376","Cardiovascular",9
"4378","Cardiovascular",9
"4379","Cardiovascular",9
"4380","Cardiovascular",9
"4400","Cardiovascular",9
"4401","Cardiovascular",9
"4402","Cardiovascular",9
"4408","Cardiovascular",9
"4409","Cardiovascular",9
"4410","Cardiovascular",9
"4411","Cardiovascular",9
"4412","Cardiovascular",9
"4413","Cardiovascular",9
"4414","Cardiovascular",9
"4415","Cardiovascular",9
"4416","Cardiovascular",9
"4420","Cardiovascular",9
"4421","Cardiovascular",9
"4422","Cardiovascular",9
"4423","Cardiovascular",9
"4428","Cardiovascular",9
"4429","Cardiovascular",9
"4430","Cardiovascular",9
"4431","Cardiovascular",9
"4438","Cardiovascular",9
"4439","Cardiovascular",9
"4440","Cardiovascular",9
"4441","Cardiovascular",9
"4442","Cardiovascular",9
"4448","Cardiovascular",9
"4449","Cardiovascular",9
"4460","Cardiovascular",9
"4461","Cardiovascular",9
"4462","Cardiovascular",9
"4463","Cardiovascular",9
"4464","Cardiovascular",9
"4465","Cardiovascular",9
"4466","Cardiovascular",9
"4467","Cardiovascular",9
"4470","Cardiovascular",9
"4471","Cardiovascular",9
"4472","Cardiovascular",9
"4473","Cardiovascular",9
"4474","Cardiovascular",9
"4475","Cardiovascular",9
"4476","Cardiovascular",9
"4478","Cardiovascular",9
"4479","Cardiovascular",9
"4480","Cardiovascular",9
"4481","Cardiovascular",9
"4489","Cardiovascular",9
"4510","Cardiovascular",9
"4511","Cardiovascular",9
"4512","Cardiovascular",9
"4518","Cardiovascular",9
"4519","Cardiovascular",9
"4520","Cardiovascular",9
"4530","Cardiovascular",9
"4531","Cardiovascular",9
"4532","Cardiovascular",9
"4533","Cardiovascular",9
"4538","Cardiovascular",9
"4539","Cardiovascular",9
"4540","Cardiovascular",9
"4541","Cardiovascular",9
"4542","Cardiovascular",9
"4549","Cardiovascular",9
"4550","Cardiovascular",9
"4551","Cardiovascular",9
"4552","Cardiovascular",9
"4553","Cardiovascular",9
"4554","Cardiovascular",9
"4555","Cardiovascular",9
"4556","Cardiovascular",9
"4557","Cardiovascular",9
"4558","Cardiovascular",9
"4559","Cardiovascular",9
"4560","Cardiovascular",9
"4561","Cardiovascular",9
"4563","Cardiovascular",9
"4564","Cardiovascular",9
"4565","Cardiovascular",9
"4568","Cardiovascular",9
"4571","Cardiovascular",9
"4572","Cardiovascular",9
"4578","Cardiovascular",9
"4579","Cardiovascular",9
"4580","Cardiovascular",9
"4581","Cardiovascular",9
"4589","Cardiovascular",9
"4590","Cardiovascular",9
"4591","Cardiovascular",9
"4592","Cardiovascular",9
"4598","Cardiovascular",9
"4599","Cardiovascular",9
"I000","Cardiovascular",10
"I010","Cardiovascular",10
"I011","Cardiovascular",10
"I012","Cardiovascular",10
"I018","Cardiovascular",10
"I019","Cardiovascular",10
"I020","Cardiovascular",10
"I029","Cardiovascular",10
"I050","Cardiovascular",10
"I051","Cardiovascular",10
"I052","Cardiovascular",10
"I058","Cardiovascular",10
"I059","Cardiovascular",10
"I060","Cardiovascular",10
"I061","Cardiovascular",10
"I062","Cardiovascular",10
"I068","Cardiovascular",10
"I069","Cardiovascular",10
"I070","Cardiovascular",10
"I071","Cardiovascular",10
"I072","Cardiovascular",10
"I078","Cardiovascular",10
"I079","Cardiovascular",10
"I080","Cardiovascular",10
"I081","Cardiovascular",10
"I082","Cardiovascular",10
"I083","Cardiovascular",10
"I088","Cardiovascular",10
"I089","Cardiovascular",10
"I090","Cardiovascular",10
"I091","Cardiovascular",10
"I092","Cardiovascular",10
"I098","Cardiovascular",10
"I099","Cardiovascular",10
"I100","Cardiovascular",10
"I110","Cardiovascular",10
"I119","Cardiovascular",10
"I120","Cardiovascular",10
"I129","Cardiovascular",10
"I130","Cardiovascular",10
"I131","Cardiovascular",10
"I132","Cardiovascular",10
"I139","Cardiovascular",10
"I150","Cardiovascular",10
"I159","Cardiovascular",10
"I200","Cardiovascular",10
"I201","Cardiovascular",10
"I208","Cardiovascular",10
"I209","Cardiovascular",10
"I210","Cardiovascular",10
"I211","Cardiovascular",10
"I212","Cardiovascular",10
"I213","Cardiovascular",10
"I214","Cardiovascular",10
"I219","Cardiovascular",10
"I220","Cardiovascular",10
"I221","Cardiovascular",10
"I228","Cardiovascular",10
"I229","Cardiovascular",10
"I241","Cardiovascular",10
"I248","Cardiovascular",10
"I249","Cardiovascular",10
"I250","Cardiovascular",10
"I251","Cardiovascular",10
"I252","Cardiovascular",10
"I253","Cardiovascular",10
"I254","Cardiovascular",10
"I255","Cardiovascular",10
"I256","Cardiovascular",10
"I258","Cardiovascular",10
"I259","Cardiovascular",10
"I260","Cardiovascular",10
"I269","Cardiovascular",10
"I270","Cardiovascular",10
"I271","Cardiovascular",10
"I272","Cardiovascular",10
"I278","Cardiovascular",10
"I279","Cardiovascular",10
"I280","Cardiovascular",10
"I281","Cardiovascular",10
"I288","Cardiovascular",10
"I289","Cardiovascular",10
"I300","Cardiovascular",10
"I301","Cardiovascular",10
"I308","Cardiovascular",10
"I309","Cardiovascular",10
"I310","Cardiovascular",10
"I311","Cardiovascular",10
"I312","Cardiovascular",10
"I313","Cardiovascular",10
"I318","Cardiovascular",10
"I319","Cardiovascular",10
"I330","Cardiovascular",10
"I339","Cardiovascular",10
"I340","Cardiovascular",10
"I341","Cardiovascular",10
"I342","Cardiovascular",10
"I348","Cardiovascular",10
"I349","Cardiovascular",10
"I350","Cardiovascular",10
"I351","Cardiovascular",10
"I352","Cardiovascular",10
"I358","Cardiovascular",10
"I359","Cardiovascular",10
"I360","Cardiovascular",10
"I361","Cardiovascular",10
"I362","Cardiovascular",10
"I368","Cardiovascular",10
"I369","Cardiovascular",10
"I370","Cardiovascular",10
"I371","Cardiovascular",10
"I372","Cardiovascular",10
"I378","Cardiovascular",10
"I379","Cardiovascular",10
"I380","Cardiovascular",10
"I400","Cardiovascular",10
"I401","Cardiovascular",10
"I408","Cardiovascular",10
"I409","Cardiovascular",10
"I420","Cardiovascular",10
"I421","Cardiovascular",10
"I422","Cardiovascular",10
"I423","Cardiovascular",10
"I424","Cardiovascular",10
"I425","Cardiovascular",10
"I426","Cardiovascular",10
"I427","Cardiovascular",10
"I428","Cardiovascular",10
"I429","Cardiovascular",10
"I440","Cardiovascular",10
"I441","Cardiovascular",10
"I442","Cardiovascular",10
"I443","Cardiovascular",10
"I444","Cardiovascular",10
"I447","Cardiovascular",10
"I451","Cardiovascular",10
"I452","Cardiovascular",10
"I453","Cardiovascular",10
"I454","Cardiovascular",10
"I455","Cardiovascular",10
"I456","Cardiovascular",10
"I458","Cardiovascular",10
"I459","Cardiovascular",10
"I460","Cardiovascular",10
"I461","Cardiovascular",10
"I469","Cardiovascular",10
"I470","Cardiovascular",10
"I471","Cardiovascular",10
"I472","Cardiovascular",10
"I479","Cardiovascular",10
"I480","Cardiovascular",10
"I490","Cardiovascular",10
"I491","Cardiovascular",10
"I492","Cardiovascular",10
"I493","Cardiovascular",10
"I494","Cardiovascular",10
"I495","Cardiovascular",10
"I498","Cardiovascular",10
"I499","Cardiovascular",10
"I500","Cardiovascular",10
"I501","Cardiovascular",10
"I509","Cardiovascular",10
"I510","Cardiovascular",10
