"cause","cause.sub","icd"
"8543","Other external causes of injury",9
"8550","Other external causes of injury",9
"8551","Other external causes of injury",9
"8552","Other external causes of injury",9
"8553","Other external causes of injury",9
"8554","Other external causes of injury",9
"8555","Other external causes of injury",9
"8556","Other external causes of injury",9
"8558","Other external causes of injury",9
"8559","Other external causes of injury",9
"8560","Other external causes of injury",9
"8570","Other external causes of injury",9
"8580","Other external causes of injury",9
"8581","Other external causes of injury",9
"8582","Other external causes of injury",9
"8583","Other external causes of injury",9
"8584","Other external causes of injury",9
"8585","Other external causes of injury",9
"8586","Other external causes of injury",9
"8587","Other external causes of injury",9
"8588","Other external causes of injury",9
"8589","Other external causes of injury",9
"8600","Other external causes of injury",9
"8601","Other external causes of injury",9
"8602","Other external causes of injury",9
"8603","Other external causes of injury",9
"8604","Other external causes of injury",9
"8608","Other external causes of injury",9
"8609","Other external causes of injury",9
"8610","Other external causes of injury",9
"8611","Other external causes of injury",9
"8612","Other external causes of injury",9
"8613","Other external causes of injury",9
"8614","Other external causes of injury",9
"8615","Other external causes of injury",9
"8616","Other external causes of injury",9
"8619","Other external causes of injury",9
"8620","Other external causes of injury",9
"8621","Other external causes of injury",9
"8622","Other external causes of injury",9
"8624","Other external causes of injury",9
"8629","Other external causes of injury",9
"8630","Other external causes of injury",9
"8631","Other external causes of injury",9
"8632","Other external causes of injury",9
"8634","Other external causes of injury",9
"8635","Other external causes of injury",9
"8636","Other external causes of injury",9
"8637","Other external causes of injury",9
"8638","Other external causes of injury",9
"8639","Other external causes of injury",9
"8640","Other external causes of injury",9
"8641","Other external causes of injury",9
"8642","Other external causes of injury",9
"8643","Other external causes of injury",9
"8644","Other external causes of injury",9
"8650","Other external causes of injury",9
"8651","Other external causes of injury",9
"8652","Other external causes of injury",9
"8653","Other external causes of injury",9
"8654","Other external causes of injury",9
"8655","Other external causes of injury",9
"8658","Other external causes of injury",9
"8659","Other external causes of injury",9
"8660","Other external causes of injury",9
"8661","Other external causes of injury",9
"8663","Other external causes of injury",9
"8664","Other external causes of injury",9
"8665","Other external causes of injury",9
"8666","Other external causes of injury",9
"8667","Other external causes of injury",9
"8668","Other external causes of injury",9
"8669","Other external causes of injury",9
"8670","Other external causes of injury",9
"8680","Other external causes of injury",9
"8681","Other external causes of injury",9
"8682","Other external causes of injury",9
"8683","Other external causes of injury",9
"8688","Other external causes of injury",9
"8689","Other external causes of injury",9
"8690","Other external causes of injury",9
"8691","Other external causes of injury",9
"8692","Other external causes of injury",9
"8693","Other external causes of injury",9
"8698","Other external causes of injury",9
"8699","Other external causes of injury",9
"8700","Other external causes of injury",9
"8701","Other external causes of injury",9
"8702","Other external causes of injury",9
"8703","Other external causes of injury",9
"8704","Other external causes of injury",9
"8705","Other external causes of injury",9
"8706","Other external causes of injury",9
"8707","Other external causes of injury",9
"8708","Other external causes of injury",9
"8709","Other external causes of injury",9
"8710","Other external causes of injury",9
"8711","Other external causes of injury",9
"8712","Other external causes of injury",9
"8714","Other external causes of injury",9
"8715","Other external causes of injury",9
"8716","Other external causes of injury",9
"8717","Other external causes of injury",9
"8718","Other external causes of injury",9
"8719","Other external causes of injury",9
"8720","Other external causes of injury",9
"8721","Other external causes of injury",9
"8722","Other external causes of injury",9
"8725","Other external causes of injury",9
"8726","Other external causes of injury",9
"8729","Other external causes of injury",9
"8730","Other external causes of injury",9
"8731","Other external causes of injury",9
"8732","Other external causes of injury",9
"8733","Other external causes of injury",9
"8735","Other external causes of injury",9
"8736","Other external causes of injury",9
"8738","Other external causes of injury",9
"8739","Other external causes of injury",9
"8740","Other external causes of injury",9
"8741","Other external causes of injury",9
"8742","Other external causes of injury",9
"8743","Other external causes of injury",9
"8744","Other external causes of injury",9
"8745","Other external causes of injury",9
"8748","Other external causes of injury",9
"8749","Other external causes of injury",9
"8750","Other external causes of injury",9
"8751","Other external causes of injury",9
"8752","Other external causes of injury",9
"8758","Other external causes of injury",9
"8759","Other external causes of injury",9
