"stateFips","sex","age","year","pop.new"
"56",2,80,2013,5536
"56",2,70,2013,9620
"56",2,45,2013,16738
"56",2,25,2013,19327
"56",2,15,2013,18138
"56",1,80,2013,4255
"56",1,55,2013,21916
"56",1,50,2013,21021
"56",1,40,2013,17915
"56",1,35,2013,18247
"56",1,20,2013,23232
"56",1,15,2013,19545
"56",1,10,2013,19056
"56",1,0,2013,19710
"55",2,80,2013,67471
"55",2,70,2013,103691
"55",2,45,2013,196481
"55",2,15,2013,188903
"55",2,0,2013,168493
"55",1,80,2013,47711
"56",2,0,2013,18878
"55",1,75,2013,65565
"55",1,55,2013,205972
"55",1,50,2013,218932
"55",1,40,2013,181044
"55",1,35,2013,170178
"55",1,15,2013,197182
"55",1,10,2013,190052
"55",1,0,2013,176224
"54",2,80,2013,24534
"54",2,70,2013,41102
"54",2,45,2013,61171
"54",2,25,2013,51760
"54",2,15,2013,54232
"54",1,80,2013,16224
"54",1,75,2013,25528
"54",1,55,2013,68857
"54",1,50,2013,66129
"54",1,40,2013,60630
"54",1,35,2013,55882
"54",1,20,2013,63699
"54",1,15,2013,57886
"54",1,10,2013,55117
"54",1,0,2013,52279
"53",2,80,2013,64716
"53",2,70,2013,117596
"53",2,45,2013,227383
"53",2,15,2013,213867
"56",1,75,2013,6149
"53",2,0,2013,217358
"53",1,80,2013,48283
"54",2,0,2013,50475
"53",1,75,2013,70568
"53",1,55,2013,235049
"53",1,50,2013,246035
"53",1,40,2013,236263
"53",1,35,2013,227526
"53",1,20,2013,258568
"53",1,15,2013,225115
"53",1,10,2013,223560
"53",1,0,2013,227194
"51",2,80,2013,79759
"51",2,50,2013,310736
"51",2,35,2013,263906
"51",2,30,2013,287466
"51",2,25,2013,287454
"51",2,20,2013,290613
"51",2,10,2013,255141
"51",1,85,2013,43953
"51",1,80,2013,54664
"51",2,85,2013,90454
"51",1,70,2013,124258
"51",1,60,2013,222997
"51",1,40,2013,278824
"51",1,35,2013,262303
"51",1,25,2013,299241
"51",1,15,2013,274042
"51",1,5,2013,267198
"50",2,80,2013,7469
"50",2,50,2013,25983
"50",2,40,2013,19719
"50",2,35,2013,17250
"50",2,30,2013,18240
"50",2,25,2013,17735
"50",2,20,2013,21858
"50",2,10,2013,17406
"50",2,0,2013,14680
"50",1,85,2013,4610
"50",1,80,2013,5250
"51",2,0,2013,250041
"50",1,75,2013,7668
"50",2,85,2013,9206
"50",1,70,2013,11626
"50",1,60,2013,21915
"50",1,40,2013,19236
"50",1,25,2013,18030
"50",1,15,2013,22925
"50",1,5,2013,17220
"56",1,30,2013,21409
"49",2,80,2013,20094
"49",2,50,2013,78641
"49",2,40,2013,84250
"49",2,35,2013,98871
"49",2,30,2013,111824
"49",2,25,2013,105343
"49",2,20,2013,121135
"49",2,15,2013,109637
"49",2,10,2013,119320
"49",2,5,2013,126948
"49",1,85,2013,13119
"49",1,80,2013,16049
"49",2,85,2013,20638
"49",1,70,2013,32447
"49",1,60,2013,59861
"49",1,40,2013,87593
"49",1,25,2013,106923
"49",1,5,2013,134012
"55",1,30,2013,188555
