"","start.year.month.max","start.pred.max","start.pred.max.ll","start.pred.max.ul","start.se.max","start.year.month.min","start.pred.min","start.pred.min.ll","start.pred.min.ul","start.se.min","start.seas.index","end.year.month.max","end.pred.max","end.pred.max.ll","end.pred.max.ul","end.se.max","end.year.month.min","end.pred.min","end.pred.min.ll","end.pred.min.ul","end.se.min","end.seas.index","diff","per.year.perc","per.decade.perc","p-value","age","sex","cause"
"189",7,237.888988668265,231.279351989714,244.687519412138,1.01448028445714,1,174.864883317815,168.617680820942,181.34354160774,1.01873438420699,1.36041602038475,438,142.052153422314,137.539858767441,146.712483731978,1.01660602063899,444,94.8324470927834,90.9794304546809,98.8486405845912,1.02138784569964,1.49792774284662,0.13751172246187,0.371653303950999,3.71653303950999,0.0080462906060552,0,1,"Unintentional"
"193",7,157.776655461549,152.441942054789,163.298057431501,1.01770420216294,1,125.398800519511,120.103813236896,130.927226604504,1.02225556319661,1.258199080118,439,95.9958122136134,92.2957318301674,99.8442265944446,1.02025686425808,443,65.8178382527941,62.9493330615542,68.8170568548357,1.02299547975726,1.45850752260977,0.200308442491771,0.541374168896678,5.41374168896678,0.0202922288628022,0,2,"Unintentional"
"192",7,508.32535555732,496.792327305616,520.126122929263,1.01177780835144,11,235.495047718617,228.528265520623,242.674215260208,1.01543939379024,2.15853947028515,438,112.507077357704,108.86281818494,116.273330661612,1.01694170019111,433,61.4259749811059,58.6771943544763,64.3035244593559,1.02363291966187,1.8315879787388,-0.326951491546349,-0.883652679854996,-8.83652679854996,7.21222301925904e-15,5,1,"Unintentional"
"182",7,204.747364678526,197.861968778648,211.872365374569,1.01760583608586,3,120.473360544899,115.512308922468,125.647480656999,1.02168668783992,1.69952397569435,438,70.5429301829759,67.4865721643313,73.7377057273379,1.02285565319609,442,40.8688821321409,38.7435569091003,43.1107946709587,1.02762178099363,1.72607926869373,0.0265552929993738,0.0717710621604696,0.717710621604696,8.76201142858404e-12,5,2,"Unintentional"
"185",7,2181.70336310277,2159.01888446102,2204.62618406517,1.00534691366994,1,1151.035328735,1133.84291024857,1168.48843523275,1.00770769262044,1.8954269331598,439,733.936800048288,724.120868965784,743.885792484423,1.00689334275499,433,553.064083464562,543.61714736508,562.675187677761,1.00882887532242,1.32703753867126,-0.568389394488539,-1.53618755267173,-15.3618755267173,5.78477389659591e-155,15,1,"Unintentional"
"187",7,544.269624851986,533.505869251845,555.250544763331,1.01024327306903,1,379.212678353028,369.624947020465,389.049106622437,1.01315122114246,1.4352622048815,438,256.607594876958,250.602170354149,262.756933251943,1.01215560588247,433,231.073563197563,224.718422956169,237.608429724665,1.01433025362969,1.11050174379993,-0.324760461081564,-0.877730975896119,-8.77730975896119,1.18244275525676e-32,15,2,"Unintentional"
"186",7,1349.38116047963,1333.6006124092,1365.34844039098,1.00601987154539,1,861.257836454085,847.998258478625,874.724745525252,1.00794740362157,1.56675632239843,439,804.673597868846,793.639515943891,815.861088188267,1.00706945239905,433,665.756533065324,654.648540990728,677.053004117881,1.00862140346887,1.20866046054991,-0.358095861848521,-0.967826653644653,-9.67826653644653,1.16526961040882e-77,25,1,"Unintentional"
"196",7,297.887715365691,290.999015603154,304.939488478563,1.01200864239874,3,228.558630258956,222.798247162186,234.467946365049,1.01310870836018,1.30333173167946,444,304.092004671951,295.917239825139,312.492598809209,1.0140004078708,433,285.540528706724,277.732807567407,293.567743214229,1.01424564236756,1.06496967715669,-0.23836205452277,-0.644221768980458,-6.44221768980458,1.36868546749702e-20,25,2,"Unintentional"
"184",7,682.984126999327,673.136395591775,692.975927000571,1.0074375435912,2,526.374176549185,518.047261474893,534.834935617666,1.00816881974092,1.29752589968765,439,791.306004256085,780.110073577169,802.662615931199,1.0072967582219,433,658.930075209518,647.736068882465,670.317533443404,1.00878021436591,1.20089526040297,-0.0966306392846765,-0.261163889958585,-2.61163889958585,6.48154879533145e-06,35,1,"Unintentional"
"188",7,182.752747798614,178.05095471418,187.578701173254,1.0133869577436,3,146.207920204276,142.171961080326,150.358451610456,1.01438431001102,1.24995108023751,435,363.123680469542,354.824049457708,371.617446786009,1.01186651960512,443,347.021448376382,339.237689209852,354.983804758638,1.01164151615316,1.04640125896684,-0.203549821270667,-0.550134652082885,-5.50134652082885,2.43329423292283e-11,35,2,"Unintentional"
