"","monthdth","age","fips","sex","year","deaths"
"168",12,65,"NA035",2,2006,3
"169",12,65,"NA035",1,2006,1
"170",12,65,"NA033",1,2006,3
"171",12,65,"NA031",2,2006,6
"172",12,65,"NA031",1,2006,12
"173",12,65,"NA030",1,2006,3
"174",12,65,"NA029",2,2006,1
"175",12,65,"NA029",1,2006,7
"176",12,65,"NA027",1,2006,2
"177",12,65,"NA025",2,2006,9
"178",12,65,"NA025",1,2006,9
"179",12,65,"NA023",1,2006,3
"180",12,65,"NA021",2,2006,8
"181",12,65,"NA021",1,2006,12
"182",12,65,"NA019",2,2006,1
"183",12,65,"NA019",1,2006,1
"184",12,65,"NA017",1,2006,3
"185",12,65,"NA015",1,2006,3
"186",12,65,"NA013",1,2006,4
"187",12,65,"NA011",1,2006,4
"188",12,65,"NA010",2,2006,3
"189",12,65,"NA010",1,2006,2
"190",12,65,"NA007",2,2006,3
"191",12,65,"NA007",1,2006,2
"192",12,65,"NA005",2,2006,2
"193",12,65,"NA005",1,2006,4
"194",12,65,"NA003",1,2006,3
"195",12,65,"NA001",1,2006,1
"196",12,65,"NA000",2,2006,1
"197",12,60,"NA061",2,2006,3
"198",12,60,"NA017",2,2006,2
"199",12,55,"NA061",1,2006,4
"200",12,55,"NA045",1,2006,1
"201",12,55,"NA035",1,2006,4
"202",12,55,"NA029",2,2006,5
"203",12,55,"NA025",1,2006,5
"204",12,55,"NA005",1,2006,3
"205",12,55,"NA001",1,2006,1
"206",12,50,"NA065",2,2006,2
"207",12,50,"NA061",2,2006,4
"208",12,50,"NA059",1,2006,1
"209",12,50,"NA055",2,2006,1
"210",12,50,"NA053",2,2006,1
"211",12,50,"NA043",2,2006,1
"212",12,50,"NA041",1,2006,1
"213",12,50,"NA030",2,2006,1
"214",12,50,"NA029",2,2006,2
"215",12,50,"NA025",2,2006,3
"216",12,50,"NA025",1,2006,4
"217",12,50,"NA023",1,2006,4
"218",12,50,"NA021",2,2006,6
"219",12,50,"NA019",1,2006,1
"220",12,50,"NA017",1,2006,2
"221",12,50,"NA011",2,2006,1
"222",12,50,"NA011",1,2006,1
"223",12,50,"NA010",2,2006,2
"224",12,50,"NA010",1,2006,7
"225",12,50,"NA007",1,2006,1
"226",12,50,"NA001",2,2006,1
"227",12,50,"NA000",2,2006,2
"228",12,45,"NA065",2,2006,1
"229",12,45,"NA065",1,2006,1
"230",12,45,"NA063",1,2006,2
"231",12,45,"NA061",2,2006,5
"232",12,45,"NA061",1,2006,3
"233",12,45,"NA059",2,2006,1
"234",12,45,"NA059",1,2006,1
"235",12,45,"NA055",1,2006,1
"236",12,45,"NA051",1,2006,1
"237",12,45,"NA047",2,2006,2
"238",12,45,"NA047",1,2006,5
"239",12,45,"NA041",2,2006,1
"240",12,45,"NA041",1,2006,3
"241",12,45,"NA033",1,2006,3
"242",12,45,"NA031",2,2006,7
"243",12,45,"NA029",2,2006,2
"244",12,45,"NA025",2,2006,2
"245",12,45,"NA025",1,2006,4
"246",12,45,"NA021",2,2006,5
"247",12,45,"NA019",1,2006,2
"248",12,45,"NA015",2,2006,1
"249",12,45,"NA013",2,2006,2
"250",12,45,"NA010",2,2006,1
"251",12,45,"NA009",1,2006,1
"252",12,45,"NA007",1,2006,2
"253",12,45,"NA005",1,2006,4
"254",12,45,"NA001",2,2006,1
"255",12,45,"NA000",2,2006,3
"256",12,45,"NA000",1,2006,2
"257",12,40,"NA065",2,2006,1
"258",12,40,"NA065",1,2006,1
"259",12,40,"NA063",1,2006,1
"260",12,40,"NA061",1,2006,3
"261",12,40,"NA059",1,2006,1
"262",12,40,"NA057",1,2006,2
"263",12,40,"NA055",1,2006,1
"264",12,40,"NA051",1,2006,2
"265",12,40,"NA043",1,2006,2
"266",12,40,"NA041",1,2006,1
"267",12,40,"NA039",1,2006,1
"268",12,40,"NA035",1,2006,1
"269",12,40,"NA031",1,2006,1
"270",12,40,"NA029",1,2006,1
"271",12,40,"NA027",1,2006,1
"272",12,40,"NA025",1,2006,1
"273",12,40,"NA023",1,2006,2
"274",12,40,"NA021",1,2006,3
"275",12,40,"NA019",1,2006,1
"276",12,40,"NA017",1,2006,1
"277",12,40,"NA015",1,2006,1
"278",12,40,"NA013",1,2006,4
"279",12,40,"NA011",1,2006,1
"280",12,40,"NA010",1,2006,4
"281",12,40,"NA007",2,2006,1
"282",12,40,"NA005",1,2006,2
"283",12,40,"NA001",1,2006,1
"284",12,35,"NA063",1,2006,1
"285",12,35,"NA061",1,2006,1
"286",12,35,"NA057",1,2006,2
"287",12,35,"NA055",1,2006,1
"288",12,35,"NA053",1,2006,1
"289",12,35,"NA045",1,2006,1
"290",12,35,"NA041",1,2006,1
"291",12,35,"NA039",1,2006,3
"292",12,35,"NA037",1,2006,1
"293",12,35,"NA035",1,2006,1
"294",12,35,"NA033",1,2006,1
"295",12,35,"NA031",1,2006,5
"296",12,35,"NA027",1,2006,1
"297",12,35,"NA023",2,2006,2
"298",12,35,"NA023",1,2006,1
"299",12,35,"NA019",1,2006,1
"300",12,35,"NA010",2,2006,1
"301",12,35,"NA010",1,2006,6
"302",12,35,"NA009",1,2006,1
"303",12,35,"NA005",1,2006,1
"304",12,35,"NA003",1,2006,1
"305",12,35,"NA001",1,2006,1
"306",12,30,"NA063",1,2006,1
"307",12,30,"NA053",1,2006,1
"308",12,30,"NA051",2,2006,1
"309",12,30,"NA051",1,2006,2
"310",12,30,"NA047",2,2006,1
"311",12,30,"NA043",1,2006,1
"312",12,30,"NA041",2,2006,1
"313",12,30,"NA041",1,2006,2
"314",12,30,"NA031",2,2006,1
"315",12,30,"NA031",1,2006,4
"316",12,30,"NA030",1,2006,1
"317",12,30,"NA025",1,2006,3
"318",12,30,"NA023",1,2006,1
"319",12,30,"NA021",1,2006,3
"320",12,30,"NA017",2,2006,1
"321",12,30,"NA017",1,2006,1
"322",12,30,"NA013",1,2006,1
"323",12,30,"NA010",2,2006,1
"324",12,30,"NA009",1,2006,2
"325",12,30,"NA005",1,2006,2
"326",12,30,"NA003",1,2006,1
"327",12,30,"NA000",2,2006,1
"328",12,25,"NA063",1,2006,2
"329",12,25,"NA037",1,2006,1
"330",12,25,"NA035",1,2006,1
"331",12,25,"NA031",1,2006,7
"332",12,25,"NA029",1,2006,1
"333",12,25,"NA015",1,2006,1
"334",12,25,"NA013",1,2006,2
"335",12,25,"NA010",1,2006,1
"336",12,25,"NA005",1,2006,1
"337",12,25,"NA000",1,2006,1
"338",12,20,"NA047",1,2006,1
"339",12,20,"NA035",1,2006,2
"340",12,20,"NA031",2,2006,2
"341",12,20,"NA031",1,2006,5
"342",12,20,"NA030",1,2006,2
"343",12,20,"NA025",1,2006,4
"344",12,20,"NA023",2,2006,1
"345",12,20,"NA023",1,2006,1
"346",12,20,"NA013",2,2006,1
"347",12,20,"NA013",1,2006,1
"348",12,20,"NA007",1,2006,1
"349",12,15,"NA061",1,2006,2
"350",12,15,"NA057",1,2006,1
"351",12,15,"NA045",1,2006,1
