"","monthdth","age","fips","sex","year","deaths"
"1",12,85,"NA153",2,2008,5
"2",12,85,"NA151",2,2008,3
"3",12,85,"NA149",2,2008,1
"4",12,85,"NA147",2,2008,1
"5",12,85,"NA145",2,2008,4
"6",12,85,"NA141",2,2008,8
"7",12,85,"NA139",2,2008,9
"8",12,85,"NA137",2,2008,7
"9",12,85,"NA135",2,2008,5
"10",12,85,"NA133",2,2008,2
"11",12,85,"NA133",1,2008,3
"12",12,85,"NA131",2,2008,3
"13",12,85,"NA129",2,2008,5
"14",12,85,"NA127",2,2008,76
"15",12,85,"NA125",2,2008,1
"16",12,85,"NA125",1,2008,1
"17",12,85,"NA121",2,2008,4
"18",12,85,"NA119",2,2008,5
"19",12,85,"NA117",2,2008,3
"20",12,85,"NA115",2,2008,2
"21",12,85,"NA113",2,2008,17
"22",12,85,"NA111",2,2008,3
"23",12,85,"NA109",2,2008,1
"24",12,85,"NA109",1,2008,1
"25",12,85,"NA107",2,2008,2
"26",12,85,"NA105",2,2008,1
"27",12,85,"NA103",2,2008,2
"28",12,85,"NA099",2,2008,3
"29",12,85,"NA097",2,2008,16
"30",12,85,"NA095",2,2008,1
"31",12,85,"NA093",2,2008,1
"32",12,85,"NA091",2,2008,4
"33",12,85,"NA089",2,2008,2
"34",12,85,"NA087",2,2008,1
"35",12,85,"NA085",2,2008,1
"36",12,85,"NA085",1,2008,8
"37",12,85,"NA083",2,2008,2
"38",12,85,"NA081",2,2008,2
"39",12,85,"NA081",1,2008,1
"40",12,85,"NA079",2,2008,4
"41",12,85,"NA077",2,2008,6
"42",12,85,"NA075",2,2008,3
"43",12,85,"NA071",2,2008,3
"44",12,85,"NA069",2,2008,4
"45",12,85,"NA067",2,2008,1
"46",12,85,"NA065",2,2008,1
"47",12,85,"NA065",1,2008,2
"48",12,85,"NA063",2,2008,3
"49",12,85,"NA063",1,2008,4
"50",12,85,"NA061",2,2008,15
"51",12,85,"NA059",2,2008,2
"52",12,85,"NA057",2,2008,1
"53",12,85,"NA057",1,2008,2
"54",12,85,"NA055",2,2008,4
"55",12,85,"NA053",2,2008,3
"56",12,85,"NA053",1,2008,4
"57",12,85,"NA051",2,2008,1
"58",12,85,"NA047",2,2008,3
"59",12,85,"NA045",2,2008,2
"60",12,85,"NA043",2,2008,3
"61",12,85,"NA041",2,2008,3
"62",12,85,"NA039",2,2008,3
"63",12,85,"NA037",2,2008,3
"64",12,85,"NA037",1,2008,2
"65",12,85,"NA035",2,2008,3
"66",12,85,"NA033",2,2008,1
"67",12,85,"NA033",1,2008,1
"68",12,85,"NA031",2,2008,23
"69",12,85,"NA031",1,2008,8
