"","monthdth","age","fips","sex","deaths.x","year.x","year.y","deaths.y","diff"
"41148",10,85,"48141",1,28,2008,2008,27,1
"41196",10,85,"48201",1,150,2008,2008,149,1
"41361",10,85,"48439",1,68,2008,2008,67,1
"81321",11,85,"32003",1,79,2008,2008,78,1
"82923",11,85,"48337",1,3,2008,2008,2,1
"163013",1,85,"32003",2,162,2008,2008,161,1
"163028",1,85,"32031",1,35,2008,2008,34,1
"330409",5,85,"48231",1,13,2008,2008,12,1
"452127",8,85,"48479",1,9,2008,2008,8,1
