"","model.2.mean","age","sex","cause"
"1",-1.66335298221083,0,1,"Transport accidents"
"2",-1.67263137632508,5,1,"Transport accidents"
"3",-1.53466766563355,55,1,"Transport accidents"
"4",-1.676583474474,0,2,"Transport accidents"
"5",-1.71616020083564,5,2,"Transport accidents"
"6",-1.62347903987244,55,2,"Transport accidents"
