"","model.2.mean","age","sex","cause"
"1",-1.71151711225757,0,1,"Assault"
"2",-1.82563638358975,5,1,"Assault"
"3",-1.62547379741665,75,1,"Assault"
"4",-1.49315029800872,85,1,"Assault"
"5",-1.7159449604791,0,2,"Assault"
"6",-1.8358161931842,5,2,"Assault"
"7",-1.69578972016307,75,2,"Assault"
"8",-1.60224326293634,85,2,"Assault"
