"","model.2.mean","model.2.ll","model.2.ul","age","sex","cause"
"1",0.000865537635756168,-0.0120219945380143,0.0130319989490244,0,1,"Assault"
"2",-0.00042103613342231,-0.0141475088026425,0.0119735828631813,0,1,"Assault"
"3",0.00316936181738167,-0.0103875820097135,0.0172673470559927,0,1,"Assault"
"4",0.0023594367012936,-0.0130061196137901,0.0173669257464594,0,1,"Assault"
"5",0.00334701556150954,-0.0125173787590951,0.0193353368022861,0,1,"Assault"
"6",0.00445448803746943,-0.0118946348828032,0.0215526038853513,0,1,"Assault"
"7",0.00726767427315074,-0.00899933312957824,0.0264572419008796,0,1,"Assault"
"8",0.00601598932276331,-0.0103536110354832,0.0242341927632049,0,1,"Assault"
"9",0.00386311598340844,-0.0128288484906963,0.0206134074649688,0,1,"Assault"
"10",0.00370522077652078,-0.0119723215621694,0.0194383340078114,0,1,"Assault"
"11",0.00511646464246613,-0.008672910584911,0.0201335953543312,0,1,"Assault"
"12",0.00370271773413437,-0.0088278690323952,0.0167033580016234,0,1,"Assault"
"13",0.00451625149100045,-0.00985822723079093,0.0183178168398604,5,1,"Assault"
"14",0.00324931485290344,-0.011825374993766,0.0172903003248799,5,1,"Assault"
"15",0.00395617972130145,-0.0119236609724431,0.0190486959490603,5,1,"Assault"
"16",0.00373410025277233,-0.0137732725330713,0.0198721374493977,5,1,"Assault"
"17",0.00640325868867786,-0.0106942104155515,0.0237525251163394,5,1,"Assault"
"18",0.00610131007840563,-0.012031249884256,0.0237752513406798,5,1,"Assault"
"19",0.00854113911837509,-0.00921185406644272,0.0274116559364182,5,1,"Assault"
"20",0.0103840118464552,-0.0072546879954624,0.0302441122019333,5,1,"Assault"
"21",0.0120316906191094,-0.00538151632841973,0.0329044154219667,5,1,"Assault"
"22",0.0114468909782669,-0.00511774990313092,0.0308404387860233,5,1,"Assault"
"23",0.00981496392372273,-0.00534642309208811,0.0266214638821986,5,1,"Assault"
"24",0.00603189317342332,-0.0082579638841326,0.0201249321277096,5,1,"Assault"
"25",0.00609980261420185,-0.00864559471347499,0.0204903648995736,75,1,"Assault"
"26",0.00800086455795476,-0.00671173403535756,0.0231177751880317,75,1,"Assault"
"27",0.0081260522784246,-0.00764005247708949,0.0242640680675186,75,1,"Assault"
"28",0.00814516189164413,-0.00883426237521564,0.0254347206118292,75,1,"Assault"
"29",0.00915259162088902,-0.0083208172325147,0.0276732418152933,75,1,"Assault"
"30",0.00998774906966083,-0.00797695837917551,0.0297160222219901,75,1,"Assault"
"31",0.00901969108414697,-0.00933960226162378,0.0285465747700624,75,1,"Assault"
"32",0.00792492919853932,-0.010687468546428,0.0270155100445965,75,1,"Assault"
"33",0.00684745632774584,-0.0116598381424986,0.0252009318896303,75,1,"Assault"
"34",0.00545101763523101,-0.0125617412070189,0.0225309298137931,75,1,"Assault"
"35",0.00549754522740905,-0.0109119325717386,0.021278101146923,75,1,"Assault"
"36",0.00563614974395851,-0.00933312763817509,0.020182191823928,75,1,"Assault"
"37",0.011072781895737,-0.00601436896184066,0.0282499094307404,85,1,"Assault"
"38",0.0110084348759667,-0.00640074166805761,0.0285165793405203,85,1,"Assault"
"39",0.0099100100711212,-0.00891569907394361,0.0282417678199121,85,1,"Assault"
"40",0.011481671890068,-0.0080021763141064,0.031490950567609,85,1,"Assault"
"41",0.0111102265545225,-0.00929253599870993,0.0317778476668062,85,1,"Assault"
"42",0.0107658425955522,-0.010388196362358,0.0319780068988452,85,1,"Assault"
"43",0.0104499804700309,-0.0110814251971756,0.0318703439808695,85,1,"Assault"
"44",0.00970492594420028,-0.0121290853427395,0.0309052142152779,85,1,"Assault"
"45",0.00957829798384995,-0.0119189532696477,0.0303849761069701,85,1,"Assault"
"46",0.00946985419765551,-0.0111195056473053,0.0293119125918924,85,1,"Assault"
"47",0.0102876553438168,-0.00853921513856456,0.0289015083713399,85,1,"Assault"
"48",0.0113930252008571,-0.00585973612005428,0.0289317291559251,85,1,"Assault"
"49",0.00523854110903573,-0.0091712334329537,0.018471894535747,0,2,"Assault"
"50",0.00573614789198987,-0.00893555854196627,0.0191937520314052,0,2,"Assault"
"51",0.010376631431194,-0.004180485452981,0.0256535987272551,0,2,"Assault"
"52",0.0129182663407144,-0.00286571895584549,0.0305746912921273,0,2,"Assault"
"53",0.0147822529712268,-0.00173007856955756,0.0340611772978486,0,2,"Assault"
"54",0.0132232120911007,-0.00412082473362729,0.0321996440835935,0,2,"Assault"
"55",0.0132162762983202,-0.00442215213341113,0.0325260023270055,0,2,"Assault"
"56",0.0149449404670385,-0.00268015876889189,0.0358332976772443,0,2,"Assault"
"57",0.0140045243960253,-0.00332881108008993,0.0343711781161054,0,2,"Assault"
"58",0.010324684042901,-0.00635577874167655,0.027742269423099,0,2,"Assault"
"59",0.00672107380282699,-0.00935852884287275,0.0216947785820355,0,2,"Assault"
"60",0.00675686182144029,-0.00729708582557722,0.0203184559808626,0,2,"Assault"
"61",0.0139583652297542,-0.000841020206534761,0.0286878901398583,5,2,"Assault"
"62",0.0136201633588763,-0.00145298448978247,0.0286913448778323,5,2,"Assault"
"63",0.0130253729303482,-0.00317637344175469,0.0291436881139032,5,2,"Assault"
"64",0.0101025183251347,-0.0088043385878971,0.0269273174030925,5,2,"Assault"
"65",0.01019072459656,-0.0091217932017597,0.0276408364819612,5,2,"Assault"
"66",0.0100326151627975,-0.0102450612779775,0.0280440995060101,5,2,"Assault"
"67",0.0125257884010427,-0.00667968494570718,0.0313432332949242,5,2,"Assault"
"68",0.0127716468907289,-0.00660195166977544,0.031596668756224,5,2,"Assault"
"69",0.0134358022431634,-0.00555576951328756,0.032064436900372,5,2,"Assault"
"70",0.0154140669111984,-0.00204065505910966,0.0338515990325651,5,2,"Assault"
"71",0.0166725838920317,0.000696926517456786,0.0341241834075091,5,2,"Assault"
"72",0.0160907535627132,0.00137053204425918,0.0317240277014053,5,2,"Assault"
"73",0.000795434317126686,-0.014279864273417,0.0153960101535413,75,2,"Assault"
"74",-0.000732865542254704,-0.0169281528907777,0.0141145197401972,75,2,"Assault"
"75",0.00260747890564561,-0.0134439105075944,0.0189554599618654,75,2,"Assault"
"76",0.00393279358665344,-0.0131187813871742,0.0220204371241336,75,2,"Assault"
"77",0.00384558729527747,-0.0140820509771064,0.0224618799466184,75,2,"Assault"
"78",0.00499905610285842,-0.0134201243552614,0.0249824441990522,75,2,"Assault"
"79",0.00446400334323025,-0.0144658305693016,0.0243687506699363,75,2,"Assault"
"80",0.00541992966805782,-0.0132933637403638,0.0259148495385712,75,2,"Assault"
"81",0.00641745874627139,-0.0118743608843809,0.0274224730566546,75,2,"Assault"
"82",0.0054515453096361,-0.0119116139425386,0.0247497084336511,75,2,"Assault"
"83",0.00296594131438192,-0.0133217641676514,0.0194981239988192,75,2,"Assault"
"84",0.00137029094041734,-0.0137669526533444,0.0161685280540899,75,2,"Assault"
"85",0.0119078442573225,-0.0046575711525011,0.0283180322749492,85,2,"Assault"
"86",0.0117245215494624,-0.00507156851869545,0.028314724224405,85,2,"Assault"
"87",0.0116410583015863,-0.00622298314779282,0.0292032064695709,85,2,"Assault"
"88",0.0112822742626847,-0.00801720550221263,0.029906719663057,85,2,"Assault"
"89",0.0117840370355391,-0.00817444803526729,0.0312636654716833,85,2,"Assault"
"90",0.0134385901851243,-0.00662151264731452,0.0342000262638568,85,2,"Assault"
"91",0.0147897602196628,-0.00530316109687269,0.0366301370558571,85,2,"Assault"
"92",0.014400353572574,-0.00573342469150499,0.0359194786768648,85,2,"Assault"
"93",0.0137454933928599,-0.00619472845846193,0.0345129476952864,85,2,"Assault"
"94",0.0130569283466602,-0.00619034595971735,0.0325788110210197,85,2,"Assault"
"95",0.0129116121210589,-0.00496521918793332,0.0310262743056348,85,2,"Assault"
"96",0.0123254432690306,-0.00434236383039532,0.0289852109939753,85,2,"Assault"
