"","monthdth","age","fips","sex","year","deaths"
"1",12,85,"NA153",2,2007,5
"2",12,85,"NA151",2,2007,1
"3",12,85,"NA149",2,2007,2
"4",12,85,"NA145",2,2007,1
"5",12,85,"NA143",2,2007,5
"6",12,85,"NA141",2,2007,3
"7",12,85,"NA141",1,2007,2
"8",12,85,"NA139",2,2007,8
"9",12,85,"NA137",2,2007,11
"10",12,85,"NA135",2,2007,3
"11",12,85,"NA133",2,2007,1
"12",12,85,"NA133",1,2007,4
"13",12,85,"NA129",2,2007,1
"14",12,85,"NA129",1,2007,2
"15",12,85,"NA127",2,2007,51
"16",12,85,"NA125",2,2007,9
"17",12,85,"NA123",2,2007,3
"18",12,85,"NA121",2,2007,6
"19",12,85,"NA121",1,2007,2
"20",12,85,"NA119",2,2007,2
"21",12,85,"NA117",2,2007,1
"22",12,85,"NA115",2,2007,4
"23",12,85,"NA113",2,2007,20
"24",12,85,"NA111",2,2007,3
"25",12,85,"NA109",2,2007,3
"26",12,85,"NA107",2,2007,1
"27",12,85,"NA105",2,2007,8
"28",12,85,"NA105",1,2007,3
"29",12,85,"NA101",2,2007,2
"30",12,85,"NA099",2,2007,3
"31",12,85,"NA097",2,2007,13
"32",12,85,"NA095",2,2007,2
"33",12,85,"NA091",2,2007,6
"34",12,85,"NA089",2,2007,2
"35",12,85,"NA089",1,2007,1
"36",12,85,"NA087",2,2007,4
"37",12,85,"NA085",2,2007,1
"38",12,85,"NA083",2,2007,1
"39",12,85,"NA083",1,2007,1
"40",12,85,"NA081",2,2007,2
"41",12,85,"NA081",1,2007,2
"42",12,85,"NA079",2,2007,1
"43",12,85,"NA077",2,2007,2
"44",12,85,"NA077",1,2007,3
"45",12,85,"NA075",2,2007,3
"46",12,85,"NA073",2,2007,2
"47",12,85,"NA073",1,2007,2
"48",12,85,"NA071",2,2007,5
"49",12,85,"NA069",2,2007,5
"50",12,85,"NA067",2,2007,1
"51",12,85,"NA065",2,2007,3
"52",12,85,"NA063",2,2007,1
"53",12,85,"NA063",1,2007,6
"54",12,85,"NA061",2,2007,9
"55",12,85,"NA059",2,2007,6
"56",12,85,"NA057",2,2007,1
"57",12,85,"NA055",2,2007,2
"58",12,85,"NA053",2,2007,9
"59",12,85,"NA053",1,2007,3
"60",12,85,"NA051",2,2007,5
"61",12,85,"NA045",2,2007,2
"62",12,85,"NA045",1,2007,3
"63",12,85,"NA043",2,2007,7
"64",12,85,"NA041",2,2007,2
"65",12,85,"NA039",2,2007,1
"66",12,85,"NA037",2,2007,1
"67",12,85,"NA035",2,2007,8
"68",12,85,"NA033",2,2007,4
"69",12,85,"NA031",2,2007,12
"70",12,85,"NA030",2,2007,3
"71",12,85,"NA029",2,2007,2
"72",12,85,"NA029",1,2007,2
"73",12,85,"NA027",2,2007,3
"74",12,85,"NA027",1,2007,1
"75",12,85,"NA025",2,2007,9
"76",12,85,"NA023",2,2007,3
"77",12,85,"NA021",2,2007,20
"78",12,85,"NA019",1,2007,2
"79",12,85,"NA013",2,2007,11
"80",12,85,"NA011",2,2007,1
"81",12,85,"NA010",2,2007,6
"82",12,85,"NA010",1,2007,7
"83",12,85,"NA009",2,2007,5
"84",12,85,"NA009",1,2007,2
"85",12,85,"NA007",2,2007,2
"86",12,85,"NA005",2,2007,8
"87",12,85,"NA005",1,2007,6
"88",12,85,"NA003",2,2007,3
"89",12,85,"NA001",2,2007,2
"90",12,85,"NA000",2,2007,2
"91",12,80,"NA153",2,2007,2
"92",12,80,"NA151",1,2007,1
"93",12,80,"NA149",2,2007,3
"94",12,80,"NA147",2,2007,1
"95",12,80,"NA145",1,2007,1
"96",12,80,"NA143",1,2007,1
"97",12,80,"NA141",2,2007,3
"98",12,80,"NA141",1,2007,1
"99",12,80,"NA139",2,2007,2
"100",12,80,"NA139",1,2007,1
"101",12,80,"NA137",1,2007,5
"102",12,80,"NA135",1,2007,2
"103",12,80,"NA133",2,2007,1
"104",12,80,"NA133",1,2007,2
"105",12,80,"NA131",1,2007,4
"106",12,80,"NA129",2,2007,3
"107",12,80,"NA129",1,2007,1
"108",12,80,"NA127",2,2007,31
"109",12,80,"NA127",1,2007,35
"110",12,80,"NA125",1,2007,5
"111",12,80,"NA123",1,2007,3
"112",12,80,"NA121",2,2007,1
"113",12,80,"NA119",1,2007,5
"114",12,80,"NA117",1,2007,1
"115",12,80,"NA115",1,2007,1
"116",12,80,"NA113",2,2007,12
"117",12,80,"NA113",1,2007,13
"118",12,80,"NA111",1,2007,2
"119",12,80,"NA109",1,2007,1
"120",12,80,"NA107",1,2007,3
"121",12,80,"NA105",2,2007,2
"122",12,80,"NA105",1,2007,1
"123",12,80,"NA103",2,2007,1
"124",12,80,"NA103",1,2007,1
"125",12,80,"NA101",1,2007,2
"126",12,80,"NA099",1,2007,3
"127",12,80,"NA097",2,2007,8
"128",12,80,"NA095",2,2007,1
"129",12,80,"NA091",1,2007,2
"130",12,80,"NA089",2,2007,1
"131",12,80,"NA087",1,2007,2
"132",12,80,"NA081",1,2007,3
"133",12,80,"NA079",1,2007,4
"134",12,80,"NA077",1,2007,4
"135",12,80,"NA075",2,2007,2
"136",12,80,"NA075",1,2007,1
"137",12,80,"NA073",1,2007,2
"138",12,80,"NA071",2,2007,2
"139",12,80,"NA071",1,2007,4
"140",12,80,"NA069",1,2007,5
"141",12,80,"NA067",2,2007,1
"142",12,80,"NA065",1,2007,1
"143",12,80,"NA063",2,2007,4
"144",12,80,"NA063",1,2007,1
"145",12,80,"NA059",1,2007,5
"146",12,80,"NA057",1,2007,1
"147",12,80,"NA055",2,2007,1
"148",12,80,"NA055",1,2007,1
"149",12,80,"NA054",1,2007,1
"150",12,80,"NA053",2,2007,5
"151",12,80,"NA053",1,2007,1
"152",12,80,"NA047",1,2007,2
"153",12,80,"NA045",2,2007,2
"154",12,80,"NA045",1,2007,2
"155",12,80,"NA041",2,2007,3
"156",12,80,"NA041",1,2007,4
"157",12,80,"NA039",1,2007,1
"158",12,80,"NA037",2,2007,1
"159",12,80,"NA037",1,2007,1
"160",12,80,"NA035",1,2007,2
"161",12,80,"NA033",1,2007,1
"162",12,80,"NA031",1,2007,4
"163",12,80,"NA030",2,2007,1
"164",12,80,"NA029",2,2007,1
"165",12,80,"NA029",1,2007,4
"166",12,80,"NA027",2,2007,2
"167",12,80,"NA025",1,2007,10
"168",12,80,"NA023",1,2007,3
"169",12,80,"NA021",2,2007,13
"170",12,80,"NA021",1,2007,11
"171",12,80,"NA019",1,2007,1
"172",12,80,"NA017",1,2007,1
"173",12,80,"NA015",1,2007,1
"174",12,80,"NA013",2,2007,6
"175",12,80,"NA013",1,2007,2
"176",12,80,"NA011",1,2007,4
"177",12,80,"NA010",2,2007,9
"178",12,80,"NA010",1,2007,4
"179",12,80,"NA009",1,2007,2
"180",12,80,"NA007",2,2007,1
"181",12,80,"NA007",1,2007,2
"182",12,80,"NA005",2,2007,3
"183",12,80,"NA005",1,2007,6
"184",12,80,"NA003",1,2007,1
"185",12,75,"NA151",2,2007,2
"186",12,75,"NA151",1,2007,2
"187",12,75,"NA147",2,2007,1
"188",12,75,"NA145",2,2007,2
"189",12,75,"NA145",1,2007,4
"190",12,75,"NA141",1,2007,1
"191",12,75,"NA139",2,2007,3
"192",12,75,"NA139",1,2007,2
"193",12,75,"NA137",1,2007,3
"194",12,75,"NA135",2,2007,1
"195",12,75,"NA135",1,2007,2
"196",12,75,"NA131",1,2007,1
"197",12,75,"NA127",2,2007,19
"198",12,75,"NA127",1,2007,17
"199",12,75,"NA123",2,2007,3
"200",12,75,"NA123",1,2007,1
"201",12,75,"NA113",2,2007,8
"202",12,75,"NA113",1,2007,3
"203",12,75,"NA111",2,2007,2
"204",12,75,"NA109",2,2007,1
"205",12,75,"NA107",1,2007,3
"206",12,75,"NA105",2,2007,1
"207",12,75,"NA105",1,2007,3
"208",12,75,"NA099",1,2007,1
"209",12,75,"NA097",2,2007,5
"210",12,75,"NA097",1,2007,5
"211",12,75,"NA093",1,2007,1
"212",12,75,"NA091",1,2007,2
"213",12,75,"NA089",1,2007,3
"214",12,75,"NA087",2,2007,3
"215",12,75,"NA087",1,2007,1
"216",12,75,"NA085",1,2007,2
"217",12,75,"NA081",1,2007,2
"218",12,75,"NA079",2,2007,2
"219",12,75,"NA079",1,2007,2
"220",12,75,"NA075",1,2007,1
"221",12,75,"NA071",1,2007,4
"222",12,75,"NA069",2,2007,1
"223",12,75,"NA069",1,2007,3
"224",12,75,"NA065",1,2007,2
"225",12,75,"NA061",2,2007,2
"226",12,75,"NA061",1,2007,4
"227",12,75,"NA059",2,2007,3
"228",12,75,"NA057",2,2007,1
"229",12,75,"NA057",1,2007,1
"230",12,75,"NA055",2,2007,3
"231",12,75,"NA055",1,2007,1
"232",12,75,"NA054",2,2007,2
"233",12,75,"NA053",2,2007,1
"234",12,75,"NA053",1,2007,3
"235",12,75,"NA051",2,2007,1
"236",12,75,"NA051",1,2007,1
"237",12,75,"NA047",1,2007,1
"238",12,75,"NA043",2,2007,1
"239",12,75,"NA043",1,2007,1
"240",12,75,"NA033",1,2007,2
"241",12,75,"NA031",2,2007,8
"242",12,75,"NA031",1,2007,6
"243",12,75,"NA030",2,2007,1
"244",12,75,"NA030",1,2007,1
"245",12,75,"NA029",1,2007,2
"246",12,75,"NA027",2,2007,1
"247",12,75,"NA027",1,2007,1
"248",12,75,"NA025",2,2007,4
"249",12,75,"NA025",1,2007,10
"250",12,75,"NA023",2,2007,1
"251",12,75,"NA023",1,2007,5
"252",12,75,"NA021",1,2007,6
"253",12,75,"NA019",2,2007,3
"254",12,75,"NA019",1,2007,2
"255",12,75,"NA017",1,2007,4
"256",12,75,"NA015",1,2007,1
"257",12,75,"NA013",1,2007,1
"258",12,75,"NA010",2,2007,2
"259",12,75,"NA010",1,2007,7
"260",12,75,"NA009",1,2007,1
"261",12,75,"NA007",1,2007,1
"262",12,75,"NA005",2,2007,3
"263",12,75,"NA005",1,2007,2
"264",12,75,"NA003",1,2007,3
"265",12,75,"NA001",1,2007,1
"266",12,75,"NA000",2,2007,3
"267",12,75,"NA000",1,2007,3
"268",12,75,"06000",2,2007,1
"269",12,70,"NA105",1,2007,1
"270",12,65,"NA153",1,2007,1
"271",12,65,"NA151",1,2007,3
"272",12,65,"NA147",1,2007,1
"273",12,65,"NA145",2,2007,3
"274",12,65,"NA143",1,2007,1
"275",12,65,"NA139",1,2007,2
"276",12,65,"NA135",1,2007,2
"277",12,65,"NA133",1,2007,2
"278",12,65,"NA131",1,2007,4
"279",12,65,"NA129",1,2007,1
"280",12,65,"NA127",1,2007,15
"281",12,65,"NA121",2,2007,2
"282",12,65,"NA121",1,2007,1
"283",12,65,"NA119",1,2007,2
"284",12,65,"NA117",2,2007,1
"285",12,65,"NA115",1,2007,2
"286",12,65,"NA107",1,2007,1
"287",12,65,"NA105",2,2007,1
"288",12,65,"NA105",1,2007,2
"289",12,65,"NA103",1,2007,1
"290",12,65,"NA097",2,2007,4
"291",12,65,"NA097",1,2007,2
"292",12,65,"NA095",2,2007,1
"293",12,65,"NA091",2,2007,2
"294",12,65,"NA091",1,2007,1
"295",12,65,"NA087",1,2007,1
"296",12,65,"NA081",2,2007,2
"297",12,65,"NA081",1,2007,1
"298",12,65,"NA079",1,2007,1
"299",12,65,"NA077",1,2007,3
"300",12,65,"NA073",2,2007,1
"301",12,65,"NA071",1,2007,2
"302",12,65,"NA069",2,2007,1
"303",12,65,"NA069",1,2007,2
"304",12,65,"NA067",2,2007,1
"305",12,65,"NA065",2,2007,1
"306",12,65,"NA063",1,2007,2
